Nom de l'offre touristique;Type d'offre;Type lieu de visite;Adresse1;Adresse1Suite;Adresse partie 2;Adresse partie 3;Code postal;Bureau distributeur de l'adresse postale;Commune du lieu de visite;Cedex;Code Insee de la Commune;Latitude;Longitude;Situation de l'offre;Emplacement de l'offre;N° de téléphone mobile;N° de téléphone fixe;N° de fax;Adresse e-Mail;Url du site web;Url pour accéder à la vidéo;Présence sur plateforme(s) communautaire(s);Code Embed pour intégrer une vidéo;Widget tripadvisor;Equipements présents sur le site;Services proposés sur l'équipement de loisir;Point d'intérêt visible sans visite: oui / non;Thème du musée ou centre d'interprétation;Thème du musée ou centre d'interprétation;Type du parc ou jardin;Catégorie du parc ou jardin;Style architectural du parc ou jardin;Thème du parc et jardin;Catégorie du site ou monument;Style architectural du site ou monument;Thème du site et monument historique;Animal accepté: oui / non;Complément information animal accepté;Label tourisme handicap;Catégorie de la ville ou du village fleuri;Labels;Langues parlées à l'accueil;Groupe accepté: oui / non;Nombre personnes max pour les groupes;Nombre personnes min pour les groupes;Activité sur place;Durée de visite pour les individuels;Durée de visite pour les groupes;Visites guidées proposées aux groupes en permanence: oui / non;Visites guidées proposées aux groupes sur demande: oui / non;Visites libres proposées aux groupes en permanence: oui / non;Visites pédagogiques proposées aux groupes en permanence: oui / non;Visites guidées proposées aux individuels en permanence: oui / non;Visites guidées proposées aux individuels sur demande: oui / non;Langues des audio guides;Langues des panneaux d'information;Langues parlées;Visites libres proposées aux individuels en permanence: oui / non;Les offres proposées;Ouvert toute l'année: oui / non;Période/horaires par jour/précisions ouverture/précision fermeture;Moyen(s) de réservation directe;Moyen(s) de réservation en ligne;Centrale de réservation en ligne?;Tarif gratuit : oui / non;Tarif(s) de l'année en cours proposé(s);Mode(s) de paiement accepté(s);localisation;departement
PARC DU CHÂTEAU DE ROUVOLTZ;Site et monument historiques;Patrimoine culturel;;;Rouvoltz;Chaumont d'Anjou;49140;;JARZE VILLAGES;;49163;47.53888;-0.27327;;;;;;;;;;;;;;oui;;;;;;;Classé ou inscrit;XIXe siècle;Château;non;;;;;Français;oui;;10;;;00h45;oui;;oui;;oui;;;;Français;oui;;non;;;;;non;;"Chèques bancaires et postaux;Espèces";47.53888,-0.27327;Maine-et-Loire
MUSÉUM D'HISTOIRE NATURELLE;Musée et centre d'interprétation;Patrimoine culturel;;;12 Rue Voltaire;;44000;;NANTES;;44109;47.2126646;-1.5648566;;;;;;;http://www.museum.nantes.fr;;;;;Auditorium;"Bibliothèque;Médiathèque";oui;Musée d'histoire naturelle;Sciences naturelles;;;;;;;;non;;;;"Musée de France;Qualité Tourisme";Français;oui;;12;"Atelier pour enfants ; Colloques ; Conférences ; Expositions temporaires";1h30;1h30;oui;oui;oui;oui;non;;;Français;Français;oui;;oui;||||||||10:00||||||18:00||10:00||||||18:00||10:00||||||18:00||10:00||||||18:00||10:00||||||18:00||10:00||||||18:00||10:00||||||18:00;;;;non;Gratuité||||||Gratuit le 1er dimanche du mois, de septembre à juin;"Cartes bancaires;Chèques bancaires et postaux";47.2126646,-1.5648566;Loire-Atlantique
EGLISE SAINT JACQUES;Site et monument historiques;Patrimoine culturel;;;Rue de l'église;;49640;;MORANNES SUR SARTHE-DAUMERAY;;49220;47.7516483;-0.4310592;;;;;;mairie.morannes@wanadoo.fr;;;;;;;;oui;;;;;;;Classé ou inscrit;"Gothique ; Médiéval";Eglise;;;;;;;oui;;2;;;;;oui;oui;;;oui;;;Français;oui;Proposition clientèle||PCUPDL049V501KH3;non;;;;;oui;;;47.7516483,-0.4310592;Maine-et-Loire
LE ZOOM - AU MUSÉE DES SCIENCES;Musée et centre d'interprétation;Patrimoine culturel;21 rue du Douanier Rousseau;;;;53000;;LAVAL;;53130;48.0658934;-0.7710953;;A l'abri;;02.43.49.47.81;;zoom@agglo-laval.fr;www.zoom.laval.fr;;;;;;;;;"Musée pour enfants;Sciences et techniques";;;;;;XIXe siècle;;;;;;;;oui;;7;"Atelier pour enfants ; Conférences ; Expositions temporaires";;;non;oui;oui;oui;;;;;Français;oui;;oui;;;;;;"Tarif indiv. enfant||||||• Gratuit moins de 8 ans;Tarif indiv. adulte||||||• Gratuit le 1er dimanche du mois - Demandeurs d'emploi, handicapés, groupes - Etudiants 1 €";"Chèques bancaires et postaux;Chèques Vacances;Espèces";48.0658934,-0.7710953;Mayenne
MUSÉE DES BOISSONS;Musée et centre d'interprétation;Patrimoine culturel;;;46 rue des Ponts de Cé;;49130;;SAINTE-GEMMES-SUR-LOIRE;;49278;47.42686;-0.5517;;;06 21 14 54 37;02 41 76 28 27;;musee-boissons@hotmail.com;http://www.musee-boissons.com;;Facebook||https://www.facebook.com/museedesboissons;;;Bar / Salon de thé;;;;Viticole;;;;;;;;;;;;;"Anglais;Français";oui;10;;;;2h;oui;;oui;;oui;;;;"Français;Anglais";oui;;;"19/05/2021||31/12/2021||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;01/01/2022||31/12/2022||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||";;;;;;"Cartes bancaires;Chèques bancaires et postaux;Espèces";47.42686,-0.5517;Maine-et-Loire
ATELIER GOLDÉ, GALERIE D'ART;Musée et centre d'interprétation;Patrimoine culturel;;;36 rue Saint-Maurille;;49290;;CHALONNES-SUR-LOIRE;;49063;47.35271;-0.7606214;;A l'abri;06 68 28 69 63;;;contact@galerie-golde.fr;;;Instagram||https://www.instagram.com/ateliergolde;;;;;non;Musée privé;"Art moderne / contemporain;Beaux-Arts;Galerie d'art";;;;;;;;;;;;;"Anglais;Espagnol;Français";oui;10;;Expositions temporaires;;20 minutes;;;oui;oui;;;;;"Français;Anglais;Espagnol";oui;;oui;01/01/2022||31/12/2022||Du vendredi au dimanche||||||||||||||||||||||||||||||||||||||||16:00||19:00||09:00||12:30||||||||||15:00||19:00;;;;oui;;"Chèques bancaires et postaux;Espèces;Virement";47.35271,-0.7606214;Maine-et-Loire
ROTONDE FERROVIAIRE DE LA VALLÉE DU LOIR;Site et monument historiques;Patrimoine culturel;;;44 Route de Nogent;Montabon;72500;;MONTVAL-SUR-LOIR;;72071;47.6817228;0.4112601;;;06 77 55 55 63;;;rfvl@outlook.fr;http://rfvl.over-blog.com;https://www.youtube.com/watch?v=SqndZH94HTo;;;;;Boutique;oui;;;;;;;Classé ou inscrit;XIXe siècle;"Patrimoine ferroviaire;Site industriel";oui;chiens en laisse;;;;Français;oui;100;;Expositions temporaires;1h30;1h30;oui;oui;oui;;oui;;;Français;Français;oui;;oui;"01/01/2022||30/06/2022||Autres jours sur rendez-vous||||||||||||||||||||||||14:00||18:00||||||||||||||||||||||14:00||18:00||||||||;01/07/2022||31/08/2022||||||||||14:00||18:00||||||14:00||18:00||||||14:00||18:00||||||14:00||18:00||||||14:00||18:00||||||14:00||18:00||||||14:00||18:00;01/09/2022||31/12/2022||||||||||||||||||||||||||14:00||18:00||||||||||||||||||||||14:00||18:00||||||||";;;;oui;Gratuité||||||Dons ( y compris défiscalisés avec reçu);"Chèques bancaires et postaux;Espèces";47.6817228,0.4112601;Sarthe
MAISON DITE DE JEANNE D'ARC ANCIEN AUDITOIRE DE JUSTICE;Site et monument historiques;Patrimoine culturel;;;4 rue de la Valériane  place de l'église;;72600;;CONTILLY;;72091;48.4009763;0.36973452;;"En extérieur ombragé ; En extérieur soleil ; A l'abri";06 11 64 21 31;;;;;;;;;;;;;;;;;;Non Classé;;Maison et bâtiment;oui;;;;;"Allemand;Anglais";oui;120;;;00.30;;oui;oui;non;;oui;oui;;;"Français;Allemand;Anglais";non;;non;;HUEBER||06 11 64 21 31||;;;oui;;;48.4009763,0.36973452;Sarthe
LA MAISON DES PALUDIERS;Musée et centre d'interprétation;Patrimoine culturel;;;18 rue des Prés Garnier;Saillé;44350;;GUERANDE;;44069;47.29488;-2.43093;;;;09 53 07 74 06;09 58 07 74 06;contact@maisondespaludiers.fr;http://www.maisondespaludiers.fr;;;;;;Boutique;;;;;;;;;;;;;;;Ville d'Art et d'Histoire;"Allemand;Anglais;Espagnol";oui;150;;;1h ou 1h30;;;;;;oui;;;;;;;;"09/04/2022||30/04/2022||||||10:00||12:00||14:30||17:30||10:00||12:00||14:30||17:30||10:00||12:00||14:30||17:30||10:00||12:00||14:30||17:30||10:00||12:00||14:30||17:30||10:00||12:00||14:30||17:30||10:00||12:00||14:30||17:30;01/05/2022||31/08/2022||||||10:00||12:30||14:00||18:00||10:00||12:30||14:00||18:00||10:00||12:30||14:00||18:00||10:00||12:30||14:00||18:00||10:00||12:30||14:00||18:00||10:00||12:30||14:00||18:00||10:00||12:30||14:00||18:00;01/09/2022||30/09/2022||||||10:00||12:00||||||10:00||12:00||||||10:00||12:00||||||10:00||12:00||||||10:00||12:00||||||10:00||12:00||||||10:00||12:00||||;01/09/2022||31/10/2022||||||14:30||17:30||||||14:30||17:30||||||14:30||17:30||||||14:30||17:30||||||14:30||17:30||||||14:30||17:30||||||14:30||17:30||||";;;;;;"Cartes bancaires;Chèques bancaires et postaux;Chèques Vacances;Espèces;Virement";47.29488,-2.43093;Loire-Atlantique
ASSOCIATION ART DU BOIS SEVRE ET MAINE;Musée et centre d'interprétation;Patrimoine culturel;;;12 Rue de la Fresnais;;44190;;SAINT HILAIRE DE CLISSON;;44043;47.063072;-1.3063;;;;02 40 54 74 11;;artdubois.44@gmail.com;;;;;;;;;Musée privé;"Artisanat;Arts décoratifs;Arts et traditions populaires;Galerie d'art;Maison d'artiste";;;;;;;;oui;;;;;Anglais;oui;20;;;;;;;oui;;;;;;Français;oui;;oui;;;;;;;;47.063072,-1.3063;Loire-Atlantique
MUSÉE DU BON PASTEUR;Musée et centre d'interprétation;Patrimoine culturel;;;18 rue Marie-Euphrasie Pelletier;;49100;;ANGERS;;49007;47.4709;-0.56989;;;;02 41 72 18 93;;bonpasteurmusee@gmail.com;http://www.bonpasteur-musee.org;;Facebook||https://www.facebook.com/museedubonpasteur;;;;;;;;;;;;;;;;;;;;"Anglais;Espagnol;Français";oui;20;8;;1h30;1h30;oui;;oui;;oui;;;;"Français;Anglais;Espagnol";oui;;;"04/06/2021||31/12/2021||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;02/01/2022||31/12/2022||||||||||||||||||||||||||||||||||||||14:00||17:00||||||14:00||17:00||||||14:00||17:00||||";;;;;;Espèces;47.4709,-0.56989;Maine-et-Loire
MUSÉE DU CHAMPIGNON;Site et monument historiques;Patrimoine culturel;;;Route de Gennes;Saint-Hilaire-Saint-Florent;49400;;SAUMUR;;49328;47.282387;-0.122606;;;;02 41 50 31 55;;infos@troglonature.com;https://www.musee-du-champignon.com;;"Tripadvisor||;Facebook||https://www.facebook.com/saumurtroglonature/;Tripadvisor||https://www.tripadvisor.fr/Attraction_Review-g187199-d4083941-Reviews-Musee_du_Champignon-Saumur_Maine_et_Loire_Pays_de_la_Loire.html";;;"Aire de pique nique;Bar / Salon de thé";;;;;;;;;;Troglodyte;Village, site troglodytique;;;;;"Accueil Vélo;La Loire à vélo";"Anglais;Français";oui;200;20;;;1h30;oui;;oui;oui;oui;;;;"Français;Allemand;Anglais;Néerlandais";oui;;;"05/02/2022||31/03/2022||||||10:00||||||18:00||10:00||||||18:00||10:00||||||18:00||10:00||||||18:00||10:00||||||18:00||10:00||||||18:00||10:00||||||18:00;01/04/2022||30/09/2022||||||10:00||||||19:00||10:00||||||19:00||10:00||||||19:00||10:00||||||19:00||10:00||||||19:00||10:00||||||19:00||10:00||||||19:00;01/10/2022||13/11/2022||||||10:00||||||18:00||10:00||||||18:00||10:00||||||18:00||10:00||||||18:00||10:00||||||18:00||10:00||||||18:00||10:00||||||18:00";;;;;"Tarif indiv. enfant||||||6 à 17 ans;Tarif groupe enfant||||||Scolaires";"Cartes bancaires;Chèques bancaires et postaux;Chèques Vacances";47.282387,-0.122606;Maine-et-Loire
ROCHEMENIER VILLAGE TROGLODYTIQUE, MUSÉE TROGLO;Site et monument historiques;Patrimoine culturel;;;14 rue du Musée;Rochemenier;49700;;LOURESSE-ROCHEMENIER;;49182;47.232879;-0.296019;;;;02 41 59 18 15;;visite@troglodyte.fr;http://www.troglodyte.fr;;"Tripadvisor||;Facebook||https://www.facebook.com/rochemenier/;Google+||https://maps.google.com/?cid=10306322247808024969;Tripadvisor||https://www.tripadvisor.fr/Attraction_Review-g4764225-d219186-Reviews-Cave_Museum_Village_Troglodytique_de_Rochemenier-Louresse_Rochemenier_Maine_et_Lo.html";"<iframe src=""http://player.vimeo.com/video/69342227?title=0&amp;byline=0&amp;portrait=0&amp;color=ff0179"" width=""400"" height=""225"" frameborder=""0"" webkitAllowFullScreen mozallowfullscreen allowFullScreen></iframe><span data-champcoderef="" "" id=""91aa2680-31ec-4342-9ac8-e0883d7f44d3"" type=""champSimple""><br /></span>";"<div id=""TA_selfserveprop763"" class=""TA_selfserveprop"">;<ul id=""vWn2a6pz"" class=""TA_links 1gnKT5"">;<li id=""eH9eD3"" class=""kwAnQR41"">;<a target=""_blank"" href=""http://www.tripadvisor.fr/""><img src=""http://www.tripadvisor.fr/img/cdsi/img2/branding/150_logo-11900-2.png"" alt=""TripAdvisor""/></a>;</li>;</ul>;</div>;<script src=""http://www.jscache.com/wejs?wtype=selfserveprop&amp;uniq=763&amp;locationId=219186&amp;lang=fr&amp;rating=true&amp;nreviews=4&amp;writereviewlink=true&amp;popIdx=true&amp;iswide=true&amp;border=false&amp;display_version=2""></script>";Bar / Salon de thé;"Boutique;WiFi";;;;;;;;;Troglodyte;Village, site troglodytique;non;;;;Qualité Tourisme;"Allemand;Anglais;Espagnol;Français";oui;200;20;"Animation thématique spécifique ; Atelier pour enfants ; Expositions temporaires";;1h30;oui;oui;oui;oui;oui;non;;;"Français;Allemand;Anglais";oui;"Partenariat||OP031PDL049V5050AE ; Partenariat||OP031PDL049V506OZ7 ; Proposition clientèle||OP031PDL049V504XUW";;"01/02/2022||30/04/2022||Fermé le 1er dimanche du mois||||||||||||10:00||||||17:00||10:00||||||17:00||10:00||||||17:00||10:00||||||17:00||10:00||||||17:00||10:00||||||17:00;01/05/2022||15/09/2022||||||09:30||||||18:00||09:30||||||18:00||09:30||||||18:00||09:30||||||18:00||09:30||||||18:00||09:30||||||18:00||09:30||||||18:00;16/09/2022||30/11/2022||Fermé le 1er dimanche du mois||||||||||||10:00||||||17:00||10:00||||||17:00||10:00||||||17:00||10:00||||||17:00||10:00||||||17:00||10:00||||||17:00";;;;;"Tarif indiv. réduit||6,80||6,80||Handicapé;Tarif indiv. réduit||5,80||6,80||Etudiant;Tarif indiv. réduit||5,80||6,80||Demandeur d'emploi;Tarif indiv. enfant||5,50||5,50||6 à 14 ans;Tarif indiv. adulte||8,00||8,00||;Tarif groupe adulte||6,80||6,80||";"Cartes bancaires;Chèques bancaires et postaux;Chèques Vacances;Espèces;Virement";47.232879,-0.296019;Maine-et-Loire
CALVAIRE DE LA CROIX DE LA MARE 1728;Site et monument historiques;Patrimoine culturel;;;;;72140;;MONT-SAINT-JEAN;;72211;48.2435847;-0.1178416;;;;;;;;;;;;;;oui;;;;;;;Non Classé;Classique;Calvaire et enclos paroissiaux;oui;;;;;Français;oui;25;5;;20mn;;non;non;oui;non;non;non;;Français;Français;oui;;oui;;;;;oui;;;48.2435847,-0.1178416;Sarthe
GALERIE LE 13 A;Musée et centre d'interprétation;Patrimoine culturel;;;13 bd Foch;;49100;;ANGERS;;49007;47.46886;-0.54939;;;;06 27 75 27 67;;le.treize.a@gmail.com;http://13-a.org;;;;;;;;;;;;;;;;;;;;;;Français;oui;30;1;;;;;;oui;;;;;;Français;oui;;;"01/01/2020||31/12/2020||||||||||||||||||||||||||||||||||||||||||||||14:00||18:00||||||||||||;01/01/2021||31/12/2021||||||||||||||||||||||||||||||||||||||||||||||14:00||18:00||||||||||||";;;;;;;47.46886,-0.54939;Maine-et-Loire
CARNUTA;Musée et centre d'interprétation;Patrimoine culturel;Maison de l'Homme et de la forêt;;2, rue du Bourg Ancien;;72500;;JUPILLES;;72153;47.79054;0.41346215;;A l'abri;;02 43 38 10 31;;carnuta@loirluceberce.fr;http://www.carnuta.fr;https://youtu.be/kWKq2hNvPCk;;;;Salle de réunion équipée;Boutique;oui;;"Environnement et nature;Histoire;Musée pour enfants;Sciences naturelles";;;;;;;;non;Sauf chiens guides;"Déficience auditive;Déficience mentale;Déficience moteur;Déficience visuelle";;Accueil Vélo;"Anglais;Français";oui;35;10;"Animation thématique spécifique ; Atelier pour adultes ; Atelier pour enfants ; Conférences ; Expositions temporaires";1:30;2:00;oui;oui;oui;oui;oui;non;"Allemand;Anglais;Français";"Français;Allemand;Anglais;Braille";Français;oui;"Proposition clientèle||FMA072879001292 ; Proposition clientèle||FMA072879001294";oui;"05/02/2022||20/02/2022||||Ouvert du mardi au dimanche de 14h à 18h. Réservation possible pour les groupes sur les autres horaires et jours d'ouverture.||||||||||||||14:00||18:00||||||14:00||18:00||||||14:00||18:00||||||14:00||18:00||||||14:00||18:00||||||14:00||18:00;21/02/2022||31/03/2022||||Ouvert les mercredis, samedis et dimanches de 14h à 18h. Réservation possible pour les groupes sur les autres horaires et jours d'ouverture||||||||||||||||||||||14:00||18:00||||||||||||||||||||||14:00||18:00||||||14:00||18:00;01/04/2022||26/06/2022||||Ouvert du mardi au dimanche de 14h à 18h. Réservation possible pour les groupes sur les autres horaires et jours d'ouverture||||||||||||||14:00||18:00||||||14:00||18:00||||||14:00||18:00||||||14:00||18:00||||||14:00||18:00||||||14:00||18:00;27/06/2022||04/09/2022||||Ouvert tous les jours de 10h à 18h.||10:00||||||18:00||10:00||||||18:00||10:00||||||18:00||10:00||||||18:00||10:00||||||18:00||10:00||||||18:00||10:00||||||18:00;05/09/2022||06/11/2022||||Ouvert du mardi au dimanche de 14h à 18h. Réservation possible pour les groupes sur les autres horaires et jours d'ouverture.||||||||||||||14:00||18:00||||||14:00||18:00||||||14:00||18:00||||||14:00||18:00||||||14:00||18:00||||||14:00||18:00;07/11/2022||18/12/2022||||Ouvert les mercredis, samedis et dimanches de 14h à 18h. Réservation possible pour les groupes sur les autres horaires et jours d'ouverture.||||||||||||||||||||||14:00||18:00||||||||||||||||||||||14:00||18:00||||||14:00||18:00;19/12/2021||31/12/2022||||Ouvert du mardi au dimanche de 14h à 18h. Réservation possible pour les groupes sur les autres horaires et jours d'ouverture..||||||||||||||14:00||18:00||||||14:00||18:00||||||14:00||18:00||||||14:00||18:00||||||14:00||18:00||||||14:00||18:00";||02 43 38 10 31||animation.carnuta@cclb.eu;;;non;"Tarif indiv. adulte||6,00||||Tarif plein;Tarif indiv. enfant||0,00||3,50||3,5 € pour les 7-18 ans.;Gratuit pour les enfants de moins de 7 ans.;Tarif groupe adulte||40,00||||Nous consulter directement à Carnuta au 02 43 38 10 31.;Tarif indiv. réduit||3,50||||Tarif réduit pour les étudiants, abonnés, demandeurs d'emploi et personnes en situation de handicap. Sur présentation d'un justificatif (Datant de moins de six mois pour les demandeurs d'emploi).";"Cartes bancaires;Chèques bancaires et postaux;Chèques Vacances;Chèques Vacances Connect;Espèces";47.79054,0.41346215;Sarthe
JARDIN D'ART BRUT FERNAND CHATELAIN;Musée et centre d'interprétation;Patrimoine culturel;;;Avenue Division Leclerc;;72610;;FYE;;72139;48.3280969;0.09287237;;"En extérieur ombragé ; En extérieur soleil";;02 43 33 28 04;;contact@tourisme-alpesmancelles.fr;;https://www.youtube.com/watch?v=yhgHZdZ0Gpg;;;;Aire de pique nique;Boutique;oui;Musée privé;"Art moderne / contemporain;Arts et traditions populaires";;;;;;;;oui;Tenus en laisse;;;Jardin remarquable;"Allemand;Anglais;Français";oui;40;1;"Animation thématique spécifique ; Expositions temporaires";30 mn;45mn;oui;oui;oui;oui;oui;oui;;Français;"Français;Allemand;Anglais";oui;;non;05/06/2022||18/09/2022||Ouvert tous les dimanches et jours fériés de 14h30 à 18h. Le reste de l'année sur réservation pour les groupes.||||||||||||||||||||||||||||||||||||||||||||||||||||14:30||18:00||||;Office de Tourisme des Alpes Mancelles||02 43 33 28 04||contact@tourisme-alpesmancelles.fr;;;oui;;;48.3280969,0.09287237;Sarthe
LES CHEMINS D'ELÉONORE;Site et monument historiques;Patrimoine culturel;;;La Ville Eléonore;;44410;;HERBIGNAC;;44072;47.48084;-2.26651;;;06 20 30 22 61;;;cyrilconan@gmail.com;https://www.lescheminsdeleonore.com/;;;;;;;;;;;;;;;;"Mégalithe;Site archéologique";non;;;;;Anglais;oui;50;;;2h;;;;;;oui;;;;;;;;16/05/2021||12/09/2021||Départ à l'entrée. Durée de la visite : minimum 1h45. Ouvert toute l'année pour les groupes de plus de 10 personnes.||||||||||||||||||||||||||||||||||||||||||||||||||||15:30||||||;;;;;;"Chèques bancaires et postaux;Espèces";47.48084,-2.26651;Loire-Atlantique
CHÂTEAU DE RANROUËT;Site et monument historiques;Patrimoine culturel;;;Rue de Ranrouët;;44410;;HERBIGNAC;;44072;47.44494;-2.29934;;;;02 40 88 96 17;;chateau.ranrouet@cap-atlantique.fr;http://www.chateauderanrouet.fr;;;;;Aire de pique nique;;;;;;;;;;;Château;oui;;;;Qualité Tourisme;Anglais;oui;50;;;1h;;;;;;oui;;;;;oui;;;01/04/2022||06/11/2022||Ouvertures selon tableau ci-dessous||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;;;"Cartes bancaires;Chèques bancaires et postaux;Chèques Vacances;Espèces";47.44494,-2.29934;Loire-Atlantique
MUSÉE DU GÉNIE;Musée et centre d'interprétation;Patrimoine culturel;;;106 rue Eblé;;49000;;ANGERS;Cedex;49007;47.45761;-0.56423;;;;02 41 24 83 16;;museedugeniemilitaire@orange.fr;http://www.musee-du-genie-angers.fr;;Facebook||https://www.facebook.com/museegeniemilitaire/;;;;;;;"Métiers;Militaire";;;;;;;;;;;;;Français;oui;50;10;;1h30 à 2h;;oui;;oui;oui;;;;;"Français;Anglais";oui;;;"01/06/2021||31/12/2021||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;05/02/2022||31/12/2022||||||||||||||13:30||18:00||||||13:30||18:00||||||13:30||18:00||||||13:30||18:00||||||14:00||18:00||||||14:00||18:00||||";;;;oui;;"Cartes bancaires;Espèces;Virement";47.45761,-0.56423;Maine-et-Loire
MUSEE D'ART ET D'HISTOIRE DE CHÂTEAU-GONTIER;Musée et centre d'interprétation;Patrimoine culturel;2 rue Jean Bourré;;Hôtel Fouquet;;53200;;CHATEAU-GONTIER-SUR-MAYENNE;;53062;47.8288989;-0.7049366;;;;02 43 70 42 74;;tourisme@sud-mayenne.com;http://patrimoine.chateaugontier.fr;https://youtu.be/m8U38IeOzyE;;"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/m8U38IeOzyE"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer;autoplay;clipboard-write;encrypted-media;gyroscope;picture-in-picture"" allowfullscreen></iframe><span data-champcoderef="" "" id=""91aa2680-31ec-4342-9ac8-e0883d7f44d3"" type=""champSimple""><br /></span>";;;;;;"Archéologie;Art moderne / contemporain;Beaux-Arts";;;;;;;;non;;;;Musée de France;Français;oui;50;10;"Atelier pour enfants ; Expositions temporaires";1:30;1;oui;oui;oui;oui;oui;oui;;Français;Français;oui;;non;"14/05/2022||14/05/2022||Ouverture exceptionnelle pour la Nuit des Musées||||||||||||||||||||||||||||||||||||||||||||19:00||23:00||||||||||||;21/05/2022||18/09/2022||||||||||||||||||||||14:00||18:00||||||14:00||18:00||||||14:00||18:00||||||14:00||18:00||||||14:00||18:00||||";;;;oui;;"Chèques bancaires et postaux;Chèques Vacances";47.8288989,-0.7049366;Mayenne
CENTRE D'ART CONTEMPORAIN BOUVET LADUBAY;Musée et centre d'interprétation;Patrimoine culturel;;;26 rue Jean Ackerman;Saint-Hilaire-Saint-Florent;49400;;SAUMUR;;49328;47.26613;-0.1015;;;;02 41 83 83 83;02 41 50 24 32;galerie@bouvet-ladubay.fr;http://www.bouvet-ladubay.fr/visiter-vous-reunir/centre-d-art-contemporain;;;;;;;;;;;;;;;;;;;;;;"Anglais;Français";oui;50;12;;;30 mn;;;oui;;;;;;"Français;Anglais";oui;;;01/01/2022||31/12/2022||Pour connaitre le détail, contacter l'établissement.||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;;Tarif indiv. adulte||||||Gratuit;"Cartes bancaires;Chèques bancaires et postaux";47.26613,-0.1015;Maine-et-Loire
LE CONSERVATOIRE DES VIEUX MÉTIERS ET LE FOUR À PAIN;Musée et centre d'interprétation;Patrimoine culturel;;;14 chemin de Sainte Opportune;;44320;;SAINT-PERE-EN-RETZ;;44187;47.2073;-2.04888;;;07 82 29 40 85;02 40 21 74 46;;com-libre-ste-opportune@orange.fr;http://comlibresteopportune.monsite-orange.fr;;;;;;;;;"Agriculture / monde rural;Artisanat;Histoire;Métiers";;;;;;;;non;;;;;;oui;50;2;;;;;;oui;;;;;;;oui;;;01/07/2022||15/09/2022||Visite individuels et groupes toute l'année sur rendez-vous.||||14:30||18:30||||||14:30||18:30||||||14:30||18:30||||||14:30||18:30||||||14:30||18:30||||||14:30||18:30||||||14:30||18:30||||;;;;;;Espèces;47.2073,-2.04888;Loire-Atlantique
MOULIN POUSSET;Musée et centre d'interprétation;Patrimoine culturel;;26, rue Basse;Coëmont;Vouvray-sur-Loir;72500;Château-du-Loir;MONTVAL-SUR-LOIR;;72071;47.6832916;0.44190315;"Autoroute||A 28||4 ; Gare SNCF||Château du Loir||2";;;02.43.46.90.24;;moulinpousset@orange.fr;http://www.moulinpousset.com;;;;;"Aire de pique nique;Salle de projection";;non;Musée privé;"Art moderne / contemporain;Beaux-Arts;Environnement et nature;Histoire;Musique;Photographie et cinéma;Sciences et techniques";;;;;;;;non;;;;;"Anglais;Français";oui;150;1;"Animation thématique spécifique ; Conférences ; Expositions temporaires";1h;1h;oui;oui;non;oui;oui;oui;;Français;"Français;Anglais";non;;oui;"16/04/2022||02/10/2022||Jauge maximum de 19 personnes par visite||||||||||||||||||||||||||||||||||||||||||||||||14:30||18:00||||||14:30||18:00;01/01/2022||31/12/2022||SUR RENDEZ-VOUS uniquement||||||||||||||||||||||||||||||||||||||||||||||||14:30||18:00||||||14:30||18:00";Moulin Pousset||02 43 46 90 24||moulinpousset@orange.fr;;;non;"Tarif indiv. adulte||5,00||8,00||Moulin 5 €, Musée : 5 €, Moulin + Musée : 8 €;Tarif groupe adulte||4,00||10,00||Moulin : 4 €, Musée : 4€, Moulin + Musée : 7€;Avec projection d'un film de 45 minutes sur les courses automobiles entre 1919 et 1930 : 10€;Gratuité||0,00||||Jeunes en dessous de 12 ans";"Chèques bancaires et postaux;Espèces";47.6832916,0.44190315;Sarthe
ABBAYE DE TUFFE;Site et monument historiques;Patrimoine culturel;3ter, place du Général Leclerc;;;Tuffé;72160;;TUFFE VAL DE LA CHERONNE;;72363;48.1150802;0.51674679;"Autoroute||A11||25 ; Gare SNCF||CONNERRE BEILLE||6 ; Route (nationale/départ.)||D323||5";;;02 44 32 17 56;;amis.abbaye.tuffe@orange.fr;http://abbaye-tuffe.blogspot.fr/;;"Facebook||https://www.facebook.com/;Twitter||https://twitter.com/";;;;Boutique;oui;;;;;;;Non Classé;Classique;"Abbaye;Cloître;Pigeonnier";oui;;;;Station Verte;Français;oui;80;;Expositions temporaires;45min;1h15;oui;oui;oui;;oui;oui;Français;Français;Français;oui;;non;;;;;oui;;"Cartes bancaires;Chèques bancaires et postaux;Espèces";48.1150802,0.51674679;Sarthe
