Nom de l'offre d'activité touristique;Type détaillé d'activité;Adresse partie 1: Porte/escalier;Adresse partie 1 suite;Adresse partie 2;Adresse partie 3;Code postal;Commune de l'activité;Cedex de l'adresse postale;Code Insee de la Commune;Latitude;Longitude;Situation de l'offre;Emplacement géographique;N° de téléphone mobile;N° de téléphone fixe;N° de fax;Adresse e-Mail;Url du site web;Type de plateforme/url;Services proposés sur l'équipement de loisir;Equipements présents sur le site de loisir;Animal accepté: oui / non;Complément information animal accepté;Labels;Label tourisme handicap;Groupe accepté: oui / non;Catégorie de la prestation fournie;Type formule itinérante;Activité sportive proposée;Type activité culturelle proposée;Langues parlées à l'accueil;Langues des audio guides;Visites libres proposées aux individuels en permanence: oui / non;Durée de visite pour les individuels;Visites guidées proposées aux individuels en permanence: oui / non;Visites guidées proposées aux individuels sur demande: oui / non;Langues des panneaux d'info;Langues parlées;Complément d'info sur les visites;Visites guidées proposées aux groupes en permanence: oui / non;Visites pédagogiques proposées aux groupes en permanence: oui / non;Visites guidées proposées aux groupes en permanence: oui / non;Visites guidées proposées aux groupes sur demande: oui / non;Durée de visite pour les groupes;Lieux de pratique de l'activité de loisirs;Commune de départ de la formule itinérante;Commune d'arrivée de la formule itinérante;Ouverture de l'offre toute l'année: oui / non;Horaires d'ouvertures;ResaDirecte;Centrale de réservation en ligne: oui / non;Nom centrale de réservation en ligne: url réservation en ligne / téléphone centrale / mail centrale;Tarifs;Tarif gratuit : oui / non;Modes de paiement acceptés;localisation;Département
EVASION LUDIQUE;Formules itinérantes##Live Escape Game##Parcours d'orientation;;;;Château-Gontier;53200;CHATEAU-GONTIER-SUR-MAYENNE;;53062;47.8267669;-0.7069;;En extérieur ombragé##En extérieur soleil##A l'abri;07 82 58 76 57;;;charles@evasionludique.com;https://www.evasionludique.com/;Facebook||https://www.facebook.com/evasionludique/##Instagram||https://www.instagram.com/evasionludique/##||http://linkedin.com/company/evasion-ludique;;;;;;;oui;;;;;Anglais##Français;;;;;;;;;;;;;;;;;oui;;Charles||07 82 58 76 57||charles@evasionludique.com;oui;||http://www.evasionludique.com||||07 82 58 76 57||charles@evasionludique.com;Tarif indiv. adulte||||||Pour toute demande tarifaire, contactez-nous.;non;Chèques bancaires et postaux##Espèces##Virement;47.8267669,-0.7069;Mayenne
EVASION LUDIQUE : ENQUÊTE GÉANTE POUR LES GROUPES;Live Escape Game;;;;Château-Gontier;53200;CHATEAU-GONTIER-SUR-MAYENNE;;53062;47.8264573;-0.7070437;;A l'abri;07 82 58 76 57;;;charles@evasionludique.com;https://www.evasionludique.com/;Facebook||https://www.facebook.com/evasionludique/##Instagram||https://www.instagram.com/evasionludique/##||http://linkedin.com/company/evasion-ludique;;;;;;;oui;;;;;Anglais##Français;;;;;;;;;;;;;;;;;oui;;Charles||07 82 58 76 57||charles@evasionludique.com;oui;||http://www.evasionludique.com||||07 82 58 76 57||charles@evasionludique.com;Tarif groupe adulte||||||Pour toute demande tarifaire, contactez-nous.;non;Chèques bancaires et postaux##Espèces##Virement;47.8264573,-0.7070437;Mayenne
EVASION LUDIQUE : JEU DE PISTE À CHÂTEAU-GONTIER;Activités sportives et ludiques;;;;;53200;CHATEAU-GONTIER-SUR-MAYENNE;;53062;47.82541;-0.70792;;En extérieur ombragé##En extérieur soleil;07 82 58 76 57;;;charles@evasionludique.com;https://www.evasionludique.com/;Facebook||https://www.facebook.com/evasionludique/##Instagram||https://www.instagram.com/evasionludique/##||http://linkedin.com/company/evasion-ludique;;;;;;;;;;Orientation;;Français;;;;;;;;;;;;;;;CHATEAU-GONTIER-SUR-MAYENNE;CHATEAU-GONTIER-SUR-MAYENNE;oui;;;oui;||https://www.evasionludique.com/jeu-de-piste||||07 82 58 76 57||charles@evasionludique.com;Formule famille||15,00||||Pour 2 à 5 joueurs;non;;47.82541,-0.70792;Mayenne
EVASION LUDIQUE : JEUX DE SOCIÉTÉ À DOMICILE;Jeux pour enfants##Live Escape Game;;;;Château-Gontier;53200;CHATEAU-GONTIER-SUR-MAYENNE;;53062;47.8264573;-0.7070437;;A l'abri;07 82 58 76 57;;;charles@evasionludique.com;https://www.evasionludique.com/;Facebook||https://www.facebook.com/evasionludique/##Instagram||https://www.instagram.com/evasionludique/##||http://linkedin.com/company/evasion-ludique;;;;;;;oui;;;;;Anglais##Français;;;;;;;;;;;;;;;;;oui;;Charles||07 82 58 76 57||charles@evasionludique.com;oui;||http://www.evasionludique.com||||07 82 58 76 57||charles@evasionludique.com;Tarif indiv. adulte||||||Pour toute demande tarifaire, contactez-nous.;non;Chèques bancaires et postaux##Espèces##Virement;47.8264573,-0.7070437;Mayenne
FAT BIKE - ADVENTURE 44;Loueur de vélos;;;8 impasse des Asphodéles;;44350;GUERANDE;;44069;47.33007;-2.4354;;;;06 98 52 06 23;;fatbikeadventure44@gmail.com;https://fatbikeadventure44.wixsite.com/monsite;;;Parking;;;;;;;;;;;;;;;;;;;;;;;;;;;;01/01/2021||31/12/2021||||||09:00||19:30||||||09:00||19:30||||||09:00||19:30||||||09:00||19:30||||||09:00||19:30||||||09:00||19:30||||||09:00||19:30||||;;;;;;Chèques bancaires et postaux##Espèces;47.33007,-2.4354;Loire-Atlantique
FERME PÉDAGOGIQUE AGRI'KIDS;Parc à thèmes;;;Le prieuré;Jarzé;49140;JARZE VILLAGES;;49163;47.5409035;-0.2184037;;;;06 33 91 71 32;;veronique@agrikids.fr;http://www.agrikids.fr;Facebook||https://www.facebook.com/fermepedago/;;;oui;;;;oui;;;;;Français;;;;;;;;;;;;;;;;;oui;01/01/2022||31/12/2022||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;Tarif indiv. adulte||||||Gratuit pour les moins de 1 an.;non;Chèques bancaires et postaux##Espèces;47.5409035,-0.2184037;Maine-et-Loire
FERME PÉDAGOGIQUE CHEVAL NATURE;;;;1 route du Puy;L'Humeau de Bray;49260;SAINT-MACAIRE-DU-BOIS;;49302;47.11749;-0.2877;;;06 60 54 29 33;02 41 38 95 71;;belliau@wanadoo.fr;http://www.fermepedagogiquechevalnature.com;;;;oui;;;;oui;;;;;Anglais##Français;;;;;;;;;;;;;;;;;;03/01/2022||31/05/2022||||||09:00||||||17:00||09:00||||||17:00||09:00||||||17:00||09:00||||||17:00||09:00||||||17:00||09:00||||||17:00||09:00||||||17:00##01/10/2022||30/12/2022||||||09:00||||||17:00||09:00||||||17:00||09:00||||||17:00||09:00||||||17:00||09:00||||||17:00||09:00||||||17:00||09:00||||||17:00##01/06/2022||30/06/2022||||||09:00||||||19:00||09:00||||||19:00||09:00||||||19:00||09:00||||||19:00||09:00||||||19:00||09:00||||||19:00||09:00||||||19:00;;;;Tarif groupe adulte||15,00||||15€/h. par groupe de 10 personnes minimum##Tarif indiv. adulte||3,50||6,00||Demi-journée / journée;;Cartes bancaires##Chèques bancaires et postaux##Espèces;47.11749,-0.2877;Maine-et-Loire
FLY VINTAGE;Aérodrome;;;29 rue du Portail Louis;MBE331;49400;SAUMUR;;49328;47.25869;-0.11484;;;;06 30 34 90 13;;contact@flyvintage.fr;http://www.flyvintage.fr;;;;;;Ambassadeur Val de Loire;;non;;;;;Allemand##Anglais##Français;;;;;;;;;;;;;;;;;;;;;;;;Chèques bancaires et postaux;47.25869,-0.11484;Maine-et-Loire
FLYBOARD AVEC JET & GLISS;Activités sportives et ludiques;;;Place Bougainville;;44250;SAINT-BREVIN-LES-PINS;;44154;47.26875;-2.16784;;;;07 71 84 80 77;;info@jet-gliss.fr;http://www.jet-gliss.fr/saint-brevin-nantes-jetski/;;;;non;Animaux non admis;;;;;;;;;;;;;;;;;;;;;;;;;;01/05/2021||30/09/2021||Sur réservation||||10:00||20:00||||||10:00||20:00||||||10:00||20:00||||||10:00||20:00||||||10:00||20:00||||||10:00||20:00||||||10:00||20:00||||;;;;;;Cartes bancaires##Chèques bancaires et postaux##Espèces;47.26875,-2.16784;Loire-Atlantique
FOURCHETTE ACADÉMIE;Atelier de cuisine;40 Rue du Lieutenant;;;;53000;LAVAL;;53130;48.0729657;-0.7677636;;;;02.43.56.11.40;;laval@fourchetteacademie.com;https://www.fourchetteacademie.com/;Facebook||https://www.facebook.com/fourchetteacademie/;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;48.0729657,-0.7677636;Mayenne
FULL SCALE - LE MYSTÈRE FOULQUES NERRA;;;;départ place Kennedy;;49100;ANGERS;;49007;47.46922;-0.5582;;;06 30 60 88 35;;;fullscale49events@gmail.com;;Facebook||https://www.facebook.com/FullScale49;;;;;;;;;;;;Français;;;;;;;;;;;;;;;;;;01/05/2022||01/10/2022||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;;;Cartes bancaires;47.46922,-0.5582;Maine-et-Loire
GEOCACHING À NORT-SUR-ERDRE;Activités sportives et ludiques;;;Près de l'Erdre;;44390;NORT-SUR-ERDRE;;44110;47.4388843;-1.4949964;;En extérieur ombragé##En extérieur soleil;;;;;http://www.geocaching.com;;;;;;;;;Pratique libre;;Orientation;;;;;;;;;;;;;;;;;NORT-SUR-ERDRE;NORT-SUR-ERDRE;;;;;;;oui;;47.4388843,-1.4949964;Loire-Atlantique
GET OUT ANGERS;;;;21 rue du Hanipet;;49124;SAINT-BARTHELEMY-D'ANJOU;;49267;47.46674;-0.51819;;;;;;angers@getout.fr;http://angers.getout.fr;Facebook||https://www.facebook.com/getoutangers/;WiFi;;;;;;oui;;;;;Anglais##Français;;;;;;;;;;;;;;;;;;03/12/2021||08/01/2023||||||||||||||10:00||22:00||||||10:00||22:00||||||10:00||22:00||||||10:00||23:45||||||10:00||23:45||||||10:00||22:00||||;;;;;;Cartes bancaires##Chèques bancaires et postaux##Espèces;47.46674,-0.51819;Maine-et-Loire
GOLF DE MONTJOIE;Golf;;;Route de Genneteil;Clefs;49150;BAUGE-EN-ANJOU;;49018;47.6293837;-0.0325816;;;;02 41 89 08 76;;golfdemontjoie@gmail.com;http://www.golf-montjoie.net;;Boutique;Bar##Restaurant##Toilettes;;;;;;;;;;;;;;;;;;;;;;;;;;;oui;15/03/2022||15/10/2022||||fermé entre Noel et Nouvel An||09:30||18:00||||||||||||||09:30||18:00||||||09:30||18:00||||||09:30||18:00||||||09:30||18:00||||||09:30||18:00||||;;;;Tarif indiv. adulte||18,00||26,00||;non;;47.6293837,-0.0325816;Maine-et-Loire
HARAS DE LA CHAPELLERIE;Activités sportives et ludiques;;;;La Chapellerie;53270;THORIGNE-EN-CHARNIE;;53264;48.015361;-0.3715929;;;07 72 02 91 19;;;harasdelachapellerie@orange.fr;https://harasdelachapellerie.fr;Facebook||https://www.facebook.com/elevagechapellerie/;;;non;;;;oui;Stage d’initiation;;Equitation;;Anglais##Français;;;;;;;;;;;;;;Thorigné-en-Charnie;THORIGNE-EN-CHARNIE;THORIGNE-EN-CHARNIE;oui;03/01/2022||31/12/2022||||||10:00||12:30||14:00||19:30||10:00||12:30||14:00||19:30||10:00||12:30||14:00||19:30||10:00||12:30||14:00||19:30||10:00||12:30||14:00||19:30||10:00||12:30||14:00||19:30||10:00||12:30||14:00||19:30;;;;Tarif indiv. enfant||20,00||120,00||##Tarif indiv. adulte||22,00||125,00||;;;48.015361,-0.3715929;Mayenne
HELIBERTE  HJS  - CIE HELICOPTERES;Aérodrome;;;Aérodrome Le Mans Arnage;;72100;LE MANS;;72181;47.9473377;0.19636515;Gare SNCF||GARE LE MANS||5##Autoroute||A11||3##Aéroport/aérodrome||AERODROME LE MANS||0##Héliport||AERODROME LE MANS||0;;06 12 26 19 44;02 43 39 14 50;;lemans@heliberte.com;http://www.heliberte.com/France/Vols/Accueil-h.aspx;Facebook||https://www.facebook.com/HELIBERTE.HJS##Twitter||https://twitter.com/helico37##Facebook||https://www.facebook.com/HELIBERTE.HJS/;;Toilettes;non;;;;oui;;;;;Anglais##Français;;;;;;;Français##Anglais;vols commentés par le pilote;;;;;;;;;oui;;||08 20 82 06 98||contact@heliberte.com;oui;||http://www.heliberte.com/Balades/Les-bases/LeMans-r4.aspx||http://www.heliberte.com/Articles/Compagnie/Nos-bases-a31.aspx||02 43 39 14 50||contact@heliberte.com;"Tarif indiv. adulte||||||Circuit ""Le Mythique"" - 12 minutes ;;Hors événement circuit. ;Survol complet en hélicoptère du circuit des 24H du Mans (ligne droite des Hunaudières, les stands, le technoparc...) puis cap sur l'abbaye de l'Épau.##Tarif indiv. adulte||||||Circuit ""Exclusif"" - 10 minutes;;Découvrez la légende vue du ciel. Exclusivement pendant les 24H du Mans Auto, Moto, Camion, Le Mans Classic, DTM, GP France moto...;Suivez et vivez la course en direct.##Tarif indiv. adulte||||||Circuit ""Classic LM"" - 25 minutes;;Survol complet du circuit des 24H du Mans. Puis cap sur l'Abbaye de l'Épau avec vue sur Le Mans.##Tarif indiv. adulte||||||Circuit ""Légend LM"" - 35 minutes;;Survol complet du circuit des 24H du Mans puis cap sur l'Abbaye de l'Épau avec vue sur Le Mans et sa cathédrale, l'Abbaye de Solesmes, Sablé puis retour le long de la Sarthe.;;";;Cartes bancaires##Chèques bancaires et postaux##Chèques Vacances;47.9473377,0.19636515;Sarthe
HIPPODROME DE LA FORÊT;Hippodrome;;;;Mespras;44130;LE GAVRE;;44062;47.5031505;-1.7680508;Gare SNCF||Gare de Nantes||40,7##Route (nationale/départ.)||RN 137||13,7##Route (nationale/départ.)||RN 171||3,7;;;02 40 79 23 98;;philippe.souchaud@wanadoo.fr;;;;Bar##Toilettes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;non;;47.5031505,-1.7680508;Loire-Atlantique
HIPPODROME DE PONT-CHÂTEAU;Hippodrome;;;Le Calvaire;;44160;PONTCHATEAU;;44129;47.44592;-2.13136;;;06 89 37 95 44;02 40 88 07 48;;societe.course.pontchateau@orange.fr;http://www.lescourseshippiques.com/hippodrome/443/pontchateau.html;;;Aire de pique nique##Parking##Restaurant##Toilettes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;47.44592,-2.13136;Loire-Atlantique
HISSÉO;Bateaux promenade;;;Quai de Gennes;;49350;GENNES-VAL-DE-LOIRE;;49261;47.3451079;-0.2317694;;;06 08 31 11 37;;;hisseo.gabare@yahoo.fr;http://www.gabare-loire.com;Facebook||https://www.facebook.com/hisseo.balladeenloire;;;non;;;;oui;;;;;Anglais##Français;;;;oui;;Français##Anglais;Français##Anglais;;;oui;oui;;1h30;;;;;01/01/2022||31/12/2022||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;Tarif indiv. adulte||18,00||||Croisière 1h30, minimum 8 personnes / maximum 15 personnes##Tarif indiv. adulte||38,00||||Croisière 2h30 avec apéritif dînatoire##Tarif indiv. adulte||80,00||||Journée avec repas;;Chèques bancaires et postaux##Espèces;47.3451079,-0.2317694;Maine-et-Loire
ILE MOULINSART;Aire d'arrêt Vélo##Aire de pique-nique##Atelier de cuisine##Cale de mise à l'eau##Jeux pour enfants##Parcours d'orientation##Ponton;;;Rue du canal;;72210;FILLE;;72133;47.8949822;0.1222391;;;;02 43 57 05 10;;ile.moulinsart@cc-valdesarthe.fr;http://www.ile-moulinsart.fr;Facebook||https://www.facebook.com/ilemoulinsart/##Instagram||https://www.instagram.com/ilemoulinsart/;Boutique##Espace jeux;Aire de pique nique##Bar##Défibrillateur##Poubelles##Restaurant##Salle de réunion équipée##Toilettes;oui;en laisse;Accueil Vélo;;oui;;;;;Anglais##Espagnol##Français;;oui;;oui;non;Français;Français##Anglais;Les extérieurs de l'île MoulinSart sont accessibles gratuitement.;oui;oui;oui;oui;;;;;non;13/04/2022||26/10/2022||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;;oui;Cartes bancaires##Chèques bancaires et postaux##Espèces;47.8949822,0.1222391;Sarthe
INITIATION AU FILAGE DE LA LAINE;Activités culturelles;;Alpagas de KerLA;Le Coudray;SAINT JEAN SUR ERVE;53270;BLANDOUET-SAINT JEAN;;53228;48.0604971;-0.4106741;Autoroute||A 81 sortie n°2 Vaiges||10##Gare SNCF||Laval||36##Gare SNCF||Evron||16##Gare SNCF||Sablé||28;A l'abri;06 41 66 10 12;;;kerla.alpagas@gmail.com;http://kerla-alpagas.fr/ateliers-dinitiation-au-travail-de-la-laine/;;;;non;Les chiens ne peuvent être admis dans l'enceinte de l'élevage;;;non;Stage d’initiation;;;;Anglais##Français;;;;;;;;;;;;;;L'élevage des Alpagas de KerLA à Saint Jean sur Erve;SAINT-JEAN-SUR-ERVE;SAINT-JEAN-SUR-ERVE;oui;02/01/2022||31/12/2022||Sur demande||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;Mme Chipon Christel||06 41 66 10 12||kerla.alpagas@gmail.com;;;Tarif indiv. adulte||150,00||||;non;Chèques bancaires et postaux##Espèces##Virement;48.0604971,-0.4106741;Mayenne
INITIATION TERRE / ATELIER DE JOCE;Activités culturelles;;;1 avenue Bocandé;;44760;LES MOUTIERS-EN-RETZ;;44106;47.06137;-2.00195;;;;07 80 30 46 25;;jocelyneropert13@yahoo.fr;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;47.06137,-2.00195;Loire-Atlantique
JEU D'ENQUÊTE AU CHÂTEAU DE LA TUFFIERE : L'AFFAIRE VALFIERNO;Activités culturelles;;;Château de la Tuffière;Lué-en-Baugeois;49140;JARZE VILLAGES;;49163;47.5187382;-0.2826807;;;06 30 60 88 35;;;fullscale49events@gmail.com;;;;;;;;;;;;;;Français;;;;;;;;;;;;;;Château de la Tuffière à Lué-en-Baugeois;49140 JARZE VILLAGES;49140 JARZE VILLAGES;oui;;David LAUNAY||06 30 60 88 35||fullscale49events@gmail.com;;;;;Chèques bancaires et postaux##Espèces##Virement;47.5187382,-0.2826807;Maine-et-Loire
KOOKLATELIERCRÉATIF;;;;1 route de Bazougers;;53260;FORCE;;53099;48.0335116;-0.7037083;;;;06 88 73 99 95;;kooklatelierscreatifs@hotmail.com;https://kooklateliercreatif.wixsite.com/crea;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;oui;;;;;;;;48.0335116,-0.7037083;Mayenne
L'AQUABULLE;Piscine;Rue du Commandant Cousteau;;;;53000;LAVAL;;53130;48.0886202;-0.765637;;;;02.43.59.29.99;02.43.59.29.98;contact@aquabulle.fr;http://www.aquabulle.fr;Facebook||https://www.facebook.com/laquabullelaval/?ref=ts&fref=ts;;;;;;;;;;;;;;;;;;;;;;;;;;;;;oui;;;;;Tarif indiv. adulte||||||Pass été +13 ans##Tarif indiv. enfant||||||Pass été 3-12 ans;;Cartes bancaires##Chèques bancaires et postaux##Chèques Vacances;48.0886202,-0.765637;Mayenne
L'ARCHE BRIÉRONNE;Barque/Chaland##Calèche;;;Port de Bréca;;44410;SAINT-LYPHARD;;44175;47.36098;-2.31348;;;06 88 34 23 08;02 40 91 33 97;02 40 91 36 35;sophie.nicou@wanadoo.fr;http://www.larchebrieronne.com;;;Aire de pique nique##Parking##Restaurant##Toilettes;oui;;Qualité Tourisme;;oui;;;;;Allemand##Anglais;;;;;;;;;;;;;;;;;;01/01/2022||31/12/2022||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;;;Cartes bancaires##Chèques bancaires et postaux##Chèques Vacances##Espèces;47.36098,-2.31348;Loire-Atlantique
L'ETINBULLE;Activités culturelles;;;;La meslerie;53140;PRE-EN-PAIL-SAINT-SAMSON;;53185;48.4389126;-0.1847177;Gare SNCF||Alençon||25##Route (nationale/départ.)||N12 Pré-en-Pail||2;;;;;;;Facebook||https://facebook.com/etinbulle.com;;;oui;Chiens tenus en laisse;;;oui;Pratique libre;;;;Anglais##Français;;;;;;;;;;;;;;L'Étinbulle, La Mellerie, 53140 Pré-en-Pail;;;oui;01/07/2022||31/08/2022||||||14:00||19:00||||||14:00||19:00||||||||||||||||||||||||||||||||||||||14:00||19:00||||;Clotilde Béjuge||07 68 23 47 57||contact@etinbulle.com;;;Tarif indiv. adulte||||||Prix libre;non;Chèques bancaires et postaux##Chèques Vacances##Espèces;48.4389126,-0.1847177;Mayenne
L'INSTANT PORCELAINE;Activités culturelles;;;;;44240;SUCE-SUR-ERDRE;;44201;47.365856;-1.549582;;;;;;s.lascaux@gmail.com;;Facebook||https://www.facebook.com/lascaux.sylviane/;;;;;;;;;;;Poterie;;;;;;;;;;;;;;;SUCÉ SUR ERDRE;;SUCE-SUR-ERDRE;;;;;;;;;47.365856,-1.549582;Loire-Atlantique
L'ISLE O BULLES;Piscine;;;35 Rue Edouard Branly;;44150;ANCENIS-SAINT-GEREON;;44003;47.3861316;-1.1865746;;;;02 40 09 64 15;;morgane.grolleau44@gmail.com;http://www.lisleobulles.com;Facebook||https://www.facebook.com/LIsleOBulles/?fref=ts;;;;;;;;;;;;;;;;;;;;;;;;;;;;;oui;;;;;;;;47.3861316,-1.1865746;Loire-Atlantique
L'ORANGE BLEUE;Espace de remise en forme;;;Rue du Traité de Lisbonne;;44210;PORNIC;;44131;47.12821;-2.12762;;;06 72 39 65 84;02 40 64 43 16;;pornic.jadform@gmail.com;http://www.lorangebleue.fr;;;Parking##Toilettes;;;;;;;;;;;;;;;;;;;;;;;;;;;;02/01/2021||31/12/2021||||||06:00||23:00||||||06:00||23:00||||||06:00||23:00||||||06:00||23:00||||||06:00||23:00||||||06:00||23:00||||||06:00||23:00||||;;;;;;Cartes bancaires##Chèques Vacances##Espèces;47.12821,-2.12762;Loire-Atlantique
L'ORBIÈRE - DOMAINE DE LOISIRS - HÉBERGEMENTS - RÉCEPTIONS;Base ou club nautique##Centre équestre##Parcours dans les arbres;L'Orbière;;;;53260;FORCE;;53099;48.0304281;-0.7165867;;;;02.43.56.63.93;;contact@lorbiere.fr;www.lorbiere.fr;Facebook||https://www.facebook.com/lebois53/##Instagram||https://www.instagram.com/lorbiere/;WiFi;Parking##Poubelles##Prise électrique##Salle de réunion équipée##Toilettes;;;;;oui;;;;;Anglais##Français;;;;;;;;;;;;;;;;;oui;;;;;;non;Cartes bancaires##Chèques bancaires et postaux##Chèques Vacances##Espèces;48.0304281,-0.7165867;Mayenne
L'ÉTRILLE;;;;SALLE DES SPORTS;;44760;LA BERNERIE-EN-RETZ;;44012;47.07649;-2.02803;;;06 10 90 50 08;06 10 90 50 08;;vincetrille@gmail.com;https://www.piscineletrille.com/;;;Toilettes;;;;;;;;;;;;;;;;;;;;;;;;;;;;01/07/2022||31/08/2022||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;;;Espèces;47.07649,-2.02803;Loire-Atlantique
L.A. SKIM;Activités sportives et ludiques;;;;;44600;SAINT-NAZAIRE;;44184;47.2734979;-2.213848;;;;02 40 22 21 89;;;;;;;;;;;;;;;;Français;;;;;;;;;;;;;;;;;;;Jérémy COLIN||02 40 22 21 89||;;;;non;;47.2734979,-2.213848;Loire-Atlantique
L.A.R BOATS;Activités sportives et ludiques;;;Quai de Cricklade;;44240;SUCE-SUR-ERDRE;;44201;47.3393063;-1.5252869;;;0660659026;;;contact@lar-boats.com;http://www.lar-boats.com;Facebook||https://www.facebook.com/lar.boats##Instagram||https://www.instagram.com/lar.boats/;;;non;;;;oui;Accompagnement;;Bateau à moteur thermique;;Anglais##Français;;;;;;;;;;;;;;Sucé-sur-Erdre;Sucé-sur-Erdre;Sucé-sur-Erdre;non;;;oui;||http://www.lar-boats.com/||||06 60 65 90 26||contact@lar-boats.com;;non;Chèques bancaires et postaux##Espèces##Virement;47.3393063,-1.5252869;Loire-Atlantique
LA CASABOUBOU;Bar à thème;;;Place des Halles;;44210;PORNIC;;44131;47.1155;-2.10528;;;06 07 60 17 43;09 51 59 57 68;;lacasaboubou@gmail.com;;;WiFi;Bar;non;;;;oui;;;;;;;;;;;;;;;;;;;;;;;01/01/2021||31/12/2021||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;;;Cartes bancaires##Chèques bancaires et postaux##Espèces;47.1155,-2.10528;Loire-Atlantique
LA CHEVALERIE;Centre équestre;;;Route des Blanchisseries;;49700;DOUÉ-EN-ANJOU;;49125;47.20536;-0.28431;;;06 98 43 63 72;;;veronique.delaunay2@free.fr;http://www.lachevalerie.sitew.com;;;;;;;;;;;;;Français;;;;;;;;;;;;;;;;;;;;;;;;Chèques bancaires et postaux;47.20536,-0.28431;Maine-et-Loire
LA FAUNE BRIÉRONNE;Barque/Chaland##Calèche;;;356 Port de Bréca;;44410;SAINT-LYPHARD;;44175;47.36092;-2.3135;;;06 83 60 86 65;02 40 91 48 09;;faunebrieronne@free.fr;http://faunebrieronne.fr;;;Aire de pique nique##Parking##Restaurant##Toilettes;oui;;;;oui;;;;;;;;;;;;;;;;;;;;;;;01/01/2022||31/12/2022||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;;;Cartes bancaires##Chèques bancaires et postaux##Chèques Vacances##Espèces##Virement;47.36092,-2.3135;Loire-Atlantique
LA FERME DE LA PAPINIÈRE;Zoo - parc animalier;;;;la papinière - la chapelle au grain;53100;SAINT-GEORGES-BUTTAVENT;;53219;48.278796;-0.74999;;;06 31 15 06 57;02 43 00 27 59;;cdelaroque@laposte.net;http://ferme-papiniere.fr/;;;Aire de pique nique##Toilettes;non;;;;oui;;;;;Français;;non;1h30;oui;oui;;Français;;non;oui;oui;oui;1h30;;;;oui;||||sur rendez-vous||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;de la roque||02 43 00 27 59||lepetitcoindeparadis@laposte.net;;;;non;Chèques bancaires et postaux;48.278796,-0.74999;Mayenne
LA NÉCROPOLE DES TERRES CHAUDES;;;;Tigné;;49310;LYS-HAUT-LAYON;;49373;47.20024;-0.42796;;;;;;info-accueil@ot-cholet.fr;http://www.ot-cholet.fr;;;;;;;;;;;;;Français;;;;;;;;;;;;;;;;;;;;;;;;;47.20024,-0.42796;Maine-et-Loire
LA PISCINE;Piscine;;;16, la Hirtais;;44160;SAINTE-ANNE-SUR-BRIVET;;44152;47.43736;-2.07932;;;;02 40 88 16 38;;lapiscine@cc-paysdepontchateau.fr;http://cc-paysdepontchateau.fr/listes/piscine/;;;Parking##Toilettes;non;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Cartes bancaires##Chèques bancaires et postaux##Espèces;47.43736,-2.07932;Loire-Atlantique
LA PLUME ROUGE;Salle de spectacle;;;53 rue de la Brière;;44410;LA CHAPELLE-DES-MARAIS;;44030;47.44333;-2.24732;;;06 81 67 33 56;02 40 53 20 34;;laplumerougecabaret@gmail.com;https://laplumerougecabaret.jimdo.com/;;;Restaurant;non;;;;;;;;;Anglais;;;;;;;;;;;;;;;;;;01/01/2022||31/12/2022||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;;;Cartes bancaires;47.44333,-2.24732;Loire-Atlantique
LA PÊCHE;Activités sportives et ludiques;;;;;72200;LA FLECHE;;72154;47.69589;-0.074646;;;;02 43 85 66 01;;accueil@peche72.fr;http://www.federationpeche.fr/72;;;;oui;;;;oui;Pratique libre;;Pêche;;Français;;;;;;;;;;;;;;Rivière et plans d'eau.;;;;;;;;;non;Cartes bancaires;47.69589,-0.074646;Sarthe
LA TOISON D'OR;;;;21, rue croix de la paix;Départ sur le port du Croisic;44740;BATZ-SUR-MER;;44010;47.29947;-2.51619;;;;06 87 15 70 32;;burgotmarc@orange.fr;;;;;non;;;;oui;;;;;Anglais;;;;;;;;;;;;;;;;;;01/06/2022||30/09/2022||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;;;Chèques bancaires et postaux##Espèces;47.29947,-2.51619;
