NOM_DE_LA_FeTE_OU_MANIFESTATION;CATeGORIE_DE_LA_FeTE_OU_MANIFESTATION;ADRESSE1;ADRESSE1SUITE;Adresse_partie2;Adresse_partie3;CODE_POSTAL;COMMUNE_DE_LA_FÃŠTE_OU_MANIFESTATION;BUREAU_DISTRIBUTEUR_ADRESSE_POSTALE;CEDEX;CODE_INSEE_DE_LA_COMMUNE;LATITUDE;LONGITUDE;POINT_ACCÃˆS_NOM_DISTANCE_EN_KM;N_TeLePHONE_FIXE;N_TeLePHONE_MOBILE;N_FAX;ADRESSE_EMAIL;URL_WEB;TYPE_DE_PLATEFORME_URL;URL_POUR_ACCeDER_Ã€_LA_VIDeO;PUBLIC_CONCERNe_PAR_OFFRE;WIDGET_TRIPADVISOR;CODE_EMBED_POUR_INTeGRER_UNE_VIDeO;PeRIODICITe_DE_LA_MANIFESTATION;PReCISION_SUR_LA_PeRIODICITe;LABEL_TOURISME_HANDICAP;DUReE_DE_VISITE_POUR_LES_INDIVIDUELS;VISITES_LIBRES_PROPOSeES_AUX_INDIVIDUELS_EN_PERMANENCE_OUI_NON;VISITES_GUIDeES_PROPOSeES_AUX_INDIVIDUELS_SUR_DEMANDE_OUI_NON;VISITES_GUIDeES_PROPOSeES_AUX_INDIVIDUELS_EN_PERMANENCE_OUI_NON;VISITES_GUIDeES_PROPOSeES_AUX_GROUPES_SUR_DEMANDE_OUI_NON;VISITES_GUIDeES_PROPOSeES_AUX_GROUPES_EN_PERMANENCE_OUI_NON;VISITES_GUIDeES_PROPOSeES_AUX_GROUPES_EN_PERMANENCE_OUI_NON2;DUReE_DE_VISITE_POUR_LES_GROUPES;VISITES_PeDAGOGIQUES_PROPOSeES_AUX_GROUPES_EN_PERMANENCE_OUI_NON;LANGUES_PARLeES;LANGUES_DES_AUDIO_GUIDES;HORAIRES_OUVERTURES;TARIFS_ANNeE_EN_COURS_PROPOSeS;TARIF_GRATUIT;MOYENS_DE_ReSERVATION_DIRECTE;CENTRALE_DE_ReSERVATION_EN_LIGNE;MOYENS_DE_ReSERVATION_EN_LIGNE;MODES_DE_PAIEMENT_ACCEPTeS;LOCALISATION;DEPARTEMENT
OUVERTURE DE LA SAISON CULTURELLE - LÉA CREVON;Spectacle;Salle Michel Berger;;;;72460;SAVIGNE-L'EVEQUE;;;72329;48.076935;0.300514;;02 43 24 50 28;;;;;;;;;;;;;;;;;;;;;;;;23/09/2022||23/09/2022||20:30||||||;;;;;;;48.076935,0.300514;Sarthe
PAPILLONS DE NUIT;Sortie nature / environnement;Espace Naturel Sensible des Ajeux;;;;72400;LA FERTE-BERNARD;;;72132;48.16611;0.64251;;02 43 71 21 21;;;;;;;;;;;;;;;;;;;;;;;;27/08/2022||27/08/2022||20:30||23:30||||;;;;;;;48.16611,0.64251;Sarthe
PEINDRE AVEC LA NATURE;Sortie nature / environnement;Mairie;6 Place Saint-Pierre;;;72600;SAINT-LONGIS;;;72295;48.35545;0.34784;;233811333;;;espacedecouverte@parc-normandie-maine.fr;;;;;;;Ponctuel;;;;;;;;;;;;;;26/10/2022||26/10/2022||14:00||16:00||||;;oui;Maison du Parc||02 33 81 13 33||espacedecouverte@parc-normandie-maine.fr;;;;48.35545,0.34784;Sarthe
PEINTURE DE JEAN-PIERRE CHAMPDAVOINE;Exposition;;Bridge Club du MANS;62, rue Molière;;72000;LE MANS;;;72181;47.9976598;0.231905;;02 43 78 94 77;;;;http://www.lemansbridgeclub.fr/;;;;;;Ponctuel;;;60 mn;oui;oui;oui;oui;oui;oui;;;Français;;02/04/2022||30/04/2022||14:00||18:00||Mardi, jeudi, vendredi||;;oui;;;;;47.9976598,0.231905;Sarthe
PLEIN CHAMP #4 - FESTIVAL D'ARTS URBAINS;Festival;;;Parc du Gué de Maulny;;72000;LE MANS;;;72181;47.9906614;0.1857998;Gare SNCF||Parc du Gué de Maulny||0,3;02 43 47 36 52;;;;https://www.lemans.digitomag.com/omans.php;Facebook||https://www.facebook.com/ofcourselemans/,Instagram||https://www.instagram.com/pleinchamp_lemans/,||https://www.lemans.digitomag.com/plein_champ.php;;;;;Annuel;;;;;;;;;;;;;;01/07/2022||03/07/2022||||||||;;oui;;;;;47.9906614,0.1857998;Sarthe
QUÊTE - BONHOMMES DE NEIGE;Stages-Atelier-Jeux;;Abbaye Royale de l'Epau;Route de Changé;;72530;YVRE L'EVEQUE;;;72181;47.9839581;0.2506153;Transport en commun||||,Route (nationale/départ.)||||,Autoroute||||,Gare SNCF||||;02 43 84 22 29;;;epau.accueil@sarthe.fr;http://epau.sarthe.fr/nos-offres-pour-la-famille;Facebook||https://fr-fr.facebook.com/AbbayeRoyaledelEpau/,Instagram||https://www.instagram.com/abbayeroyaledelepau_/?hl=fr;;;;;;;;;;;;;;;;;;;28/12/2022||28/12/2022||11:00||17:00||En autonomie||,29/12/2022||29/12/2022||11:00||17:00||En autonomie||;Tarif indiv. adulte||5,50||||,Tarif indiv. enfant||3,00||||10-17 ans,Tarif indiv. enfant||2,00||||- 10 ans;non;;;;Cartes bancaires,Chèques bancaires et postaux,Chèques Vacances,Espèces;47.9839581,0.2506153;Sarthe
RAID SPORTIF BRULONNAIS;Manifestation sportive;;;Rue de Buet;;72350;BRULON;;;72050;47.9679252;-0.2295177;;;06 77 89 49 18;;basedepleinair@gmail.com;;;;;;;Ponctuel;;;;;;;;;;;;Anglais;;26/06/2022||26/06/2022||08:30||13:00||||;;non;;;;Cartes bancaires,Chèques bancaires et postaux,Espèces;47.9679252,-0.2295177;Sarthe
SAINT-LÉO VINTAGE;Visites et sorties à thèmes;;Aire de loisirs;;;72130;SAINT-LEONARD-DES-BOIS;;;72294;48.3507661;-0.0771989;;;06 74 92 38 36;;;https://www.lesamisdesaintleonard.org/;Facebook||https://www.facebook.com/Les-amis-de-saint-l%C3%A9onard-409464282407655/?fref=ts;;;;;Annuel;;;;;;;;;;;;;;26/06/2022||26/06/2022||13:00||18:00||||;;oui;;;;;48.3507661,-0.0771989;Sarthe
SOIRÉE DÉCOUVERTE TALENTS;Concert;;Salle Jean Carmet;5, boulevard d'Anjou;;72700;ALLONNES;;;72003;47.9668368;0.1609441;;;;;;;;;;;;;;;;;;;;;;;;;;07/05/2022||07/05/2022||20:00||23:00||||;;oui;;;;;47.9668368,0.1609441;Sarthe
SOIRÉE JEUX DE SOCIÉTÉ;Stages-Atelier-Jeux;Centre Maurice Loiseau;;;;72400;LA FERTE-BERNARD;;;72132;48.1836339;0.64840316;;06 77 76 92 84;;;;;;;;;;;;;;;;;;;;;;;;09/09/2022||09/09/2022||20:00||23:00||||;;;;;;;48.1836339,0.64840316;Sarthe
SOIRÉE QUIZ;;O'bout du pont;rue de la mairie;;;72430;FERCE-SUR-SARTHE;;;72131;47.901792;-0.029601;;;628201263;;calfercesursarthe@gmail.com;www.calfercesursarthe.fr;Facebook||https://www.facebook.com/calferce;;;;;;;;;;;;;;;;;;;29/04/2022||29/04/2022||18:00||21:00||||;;oui;;;;;47.901792,-0.029601;Sarthe
SORTIE ORCHIDÉES;Sortie nature / environnement;Espace Naturel Sensible des Ajeux;;;;72400;LA FERTE-BERNARD;;;72132;48.16611;0.64251;;02 43 71 21 21;;;;;;;;;;;;;;;;;;;;;;;;15/05/2022||15/05/2022||14:00||18:00||||;;;;;;;48.16611,0.64251;Sarthe
SORTIE ORNITHOLOGIQUE - DÉBUTANTS;Sortie nature / environnement;Espace Naturel Sensible des Ajeux;;;;72400;LA FERTE-BERNARD;;;72132;48.16611;0.64251;;02 43 71 21 21;;;;;;;;;;;;;;;;;;;;;;;;09/07/2022||09/07/2022||09:30||12:30||||;;;;;;;48.16611,0.64251;Sarthe
SORTIES EN CANI-RANDO À L'ARCHE DE LA NATURE;Randonnée;;Parking du Verger;Route de Changé;;72530;YVRE-L'EVEQUE;;;72181;47.989875;0.24834078;;02 43 28 17 22;;;officedetourisme@lemans-tourisme.com;https://www.lemans-tourisme.com;Facebook||https://www.facebook.com/tourisme.le.mans,Twitter||https://twitter.com/lemanstourisme,Instagram||https://www.instagram.com/ofcourselemans_tourisme/;;;;;Ponctuel;;;;;;;;;;;;;;25/06/2022||25/06/2022||11:30||||11:30 (et option à 14:00 si complet à 11:30)||;Tarif indiv. réduit||9,00||9,00||de 6 à 16 ans,Tarif indiv. adulte||11,00||11,00||Adulte;non;;;;Cartes bancaires,Chèques bancaires et postaux,Chèques Vacances,Espèces;47.989875,0.24834078;Sarthe
SPECTACLE;Spectacle;Quai des Arts;;;;72320;VIBRAYE;;;72373;48.0647497;0.72728968;;02 43 60 76 89;;;;;;;;;;;;;;;;;;;;;;;;18/11/2022||18/11/2022||20:30|||| ||;;;;;;;48.0647497,0.72728968;Sarthe
SPECTACLE DE DANSE MODERN JAZZ;Danse (spectacle);Centre Culturel Athéna;;;;72400;LA FERTE-BERNARD;;;72132;48.182847;0.64961552;;02 43 93 67 92;;;;;;;;;;;;;;;;;;;;;;;;10/06/2022||11/06/2022||20:00||||||;;;;;;;48.182847,0.64961552;Sarthe
SPECTACLE DE RUE LA FRANÇOISE DES JEUX;Spectacle;;;;;72440;SAINT-MICHEL-DE-CHAVAIGNES;;;72303;48.01887;0.56999;;;;;;;;;;;;;;;;;;;;;;;;;;29/05/2022||29/05/2022||16:00||||||;;;;;;;48.01887,0.56999;Sarthe
SPECTACLE MUSICAL - LA TOUTE PETITE BOÎTE DE NUITS;Théâtre;;LE VAL'RHONNE;;Allée de l'Europe;72230;Moncé-en-Belin;;;72200;47.89235;0.2014037;;02 43 42 29 48;;;valrhonne@wanadoo.fr;;Facebook||https://www.facebook.com/centresocioculturelvalrhonne/;https://youtu.be/vubLDYQ8XqY;;;;Ponctuel;;;;;;;;;;;;;;29/04/2022||29/04/2022||18:45||19:15||||;Tarif indiv. adulte||6,00||||,Tarif indiv. enfant||4,00||||;non;;;;Chèques bancaires et postaux,Espèces;47.89235,0.2014037;Sarthe
STAGE D’EVEIL MUSIQUE POUR LES 3- 4 ANS;Stages-Atelier-Jeux;Escal, place Ledru Rollin;;;;72400;LA FERTE-BERNARD;;;72132;48.1846528;0.65814024;;02 43 93 67 92;;;;;;;;;;;;;;;;;;;;;;;;21/05/2022||21/05/2022||10:00||11:00||||;;;;;;;48.1846528,0.65814024;Sarthe
THÉÂTRE  LA FOLLE NUIT AU CAFÉ ANGLAIS ! »;Théâtre;;;6 Rue du Temple;;72430;ASNIERES-SUR-VEGRE;;;72010;47.88864;-0.23576;;02 43 95 17 12;;;contact@lemanoirdelacour.fr;http://www.lemanoirdelacour.fr/spectacles-2021/;Facebook||https://www.facebook.com/manoirdelacour,Instagram||https://www.instagram.com/manoir_de_la_cour/;;;;;Ponctuel;;;;;;;;;;;;Français;;14/05/2022||14/05/2022||20:30||||||;Tarif indiv. adulte||||||Tarif libre, au chapeau;;;;;Cartes bancaires,Chèques bancaires et postaux,Chèques Vacances,Espèces;47.88864,-0.23576;Sarthe
TREMPLIN MUSICAL - EDITION 2;Concert;;;Place de l'Hôtel de Ville;;72500;MONTVAL-SUR-LOIR;;;72071;47.69522;0.41805;;02 43 79 47 97;;;lacastelorienne@montvalsurloir.fr;https://www.facebook.com/La-Castelorienne_Officiel;;;;;;;;;;;;;;;;;;;;18/06/2022||18/06/2022||17:00||20:00||||;;oui;;;;;47.69522,0.41805;Sarthe
VIDE GRENIER;Brocantes & vide-greniers;;Le bourg;;;72120;SAINTE-CEROTTE;;;72272;47.8989243;0.68560329;;;;;;;;;;;;;;;;;;;;;;;;;;11/09/2022||11/09/2022||07:00||18:00||||;;;;;;;47.8989243,0.68560329;Sarthe
VIDE GRENIER;Brocantes & vide-greniers;Stade du Landon;;;;72370;LE BREIL-SUR-MERIZE;;;72046;48.00097;0.47827699;;02 43 76 80 12;;;;;;;;;;;;;;;;;;;;;;;;18/09/2022||18/09/2022||||||||;;;;;;;48.00097,0.47827699;Sarthe
VIDE GRENIER;Brocantes & vide-greniers;Pelouse de la Borde à Cherré;;;;72400;CHERRE-AU;;;72080;48.19224;0.68418399;;06 89 67 03 21;;;;;;;;;;;;;;;;;;;;;;;;26/06/2022||26/06/2022||||||||;;;;;;;48.19224,0.68418399;Sarthe
VIDE GRENIERS;Brocantes & vide-greniers;;;;;72390;LE LUART;;;72172;48.069938;0.592255;;02 43 60 03 41;;;;;;;;;;;;;;;;;;;;;;;;23/10/2022||23/10/2022||||||||;;;;;;;48.069938,0.592255;Sarthe
VISITE GUIDÉE ENTRE HISTOIRE ET GOURMANDISE;Visites et sorties à thèmes;;Devant l'Église;Place de la République;;72130;FRESNAY-SUR-SARTHE;;;72138;48.2804535;0.02128994;;02 43 33 28 04;;;contact@tourisme-alpesmancelles.fr;;Facebook||https://www.facebook.com/Fresnaysarthe,Instagram||https://www.instagram.com/fresnaysursarthe/;;;;;Ponctuel;;;;;;oui;;;oui;;;Français;;11/08/2022||11/08/2022||14:30||||||;;oui;;;;;48.2804535,0.02128994;Sarthe
VISITE GUIDÉE DE L'EXPOSITION LES ARBRES SÈMENT PAR PAUL CORBINEAU;Visites et sorties à thèmes;Carnuta,;Maison de l'Homme et de la forêt;2 Rue du bourg ancien;;72500;JUPILLES;;;72153;47.7904887;0.41333006;;02 43 38 10 31;;;accueil.carnuta@loirluceberce.fr;www.carnuta.fr;;;;;;;;;;;;;;;;;;Français;;29/05/2022||29/05/2022||15:00||16:30||||;;non;;;;Cartes bancaires,Chèques bancaires et postaux,Chèques Vacances,Chèques Vacances Connect,Espèces;47.7904887,0.41333006;Sarthe
VISITE GUIDÉE DU MOULIN À GLACE DE LA BRUÈRE - LA FLÈCHE;Visites et sorties à thèmes;RD306 - 85 Route du Lude;;;;72200;LA FLECHE;;;72154;47.6900837;-0.05292;;;06 72 83 52 00;;thomas@visithemes.com;https://www.visithemes.com;;;;;;Ponctuel;"Ouvert d'avril à octobre.;;VISITES GUIDÉES PROGRAMMÉES :;• A date et heure programmées à l’avance;• Consultez la programmation sur : www.visithemes.com/agenda;;VISITES GUIDÉES PRIVÉES SUR DEMANDE :;• S'il n'y a pas de visite programmée - ou si vous préférez cette formule - choisissez la date et l’heure qui vous conviennent (sous réserve de disponibilité);• Vous bénéficiez d'une visite privée avec plus de souplesse sur le contenu et la durée;• Contactez-moi pour fixer une date;";;1h;non;oui;oui;oui;non;oui;1h15;oui;Français;;26/06/2022||26/06/2022||15:00||16:00||||;"Tarif indiv. adulte||6,00||||Visites programmées : Adultes : 6 €;Enfants (7-17 ans)  ou carte Cezam : 4 €;Gratuit pour les moins de 7 ans;;Visites sur demande : nous consulter,Tarif indiv. enfant||4,00||||Enfants (7-17 ans)  ou carte Cezam : 4 €;Gratuit pour les moins de 7 ans,Tarif indiv. réduit||10,00||||Visite couplée moulin + théâtre de la halle au blé (adulte),Tarif indiv. réduit||6,00||||Visite couplée moulin + théâtre de la halle au blé (7-17 ans)";non;Thomas Brochard||06 72 83 52 00||thomas@visithemes.com;;;Cartes bancaires,Chèques bancaires et postaux,Chèques Vacances,Chèques Vacances Connect,Espèces;47.6900837,-0.05292;Sarthe
VISITE GUIDÉE DU MOULIN À GLACE DE LA BRUÈRE - LA FLÈCHE;Visites et sorties à thèmes;RD306 - 85 Route du Lude;;;;72200;LA FLECHE;;;72154;47.6900963;-0.0528464;Route (nationale/départ.)||RD306||0;;06 72 83 52 00;;thomas@visithemes.com;https://www.visithemes.com;;;;;;Ponctuel;"Ouvert d'avril à octobre.;;VISITES GUIDÉES PROGRAMMÉES :;• A date et heure programmées à l’avance;• Consultez la programmation sur : www.visithemes.com/agenda;;VISITES GUIDÉES PRIVÉES SUR DEMANDE :;• S'il n'y a pas de visite programmée - ou si vous préférez cette formule - choisissez la date et l’heure qui vous conviennent (sous réserve de disponibilité);• Vous bénéficiez d'une visite privée avec plus de souplesse sur le contenu et la durée;• Contactez-moi pour fixer une date;";;1h;non;oui;oui;oui;non;oui;1h;oui;Français;;08/05/2022||08/05/2022||15:00||16:00||||;"Tarif indiv. adulte||6,00||||Visites programmées : Adultes : 6 € / enfants (7-17 ans) ou carte Cezam : 4 € / Gratuit pour les moins de 7 ans. ;;Visites sur demande : nous consulter,Tarif indiv. enfant||4,00||||Gratuit pour les moins de 7 ans,Tarif indiv. réduit||10,00||||Visite couplée adulte (moulin + théâtre de la Halle au Blé),Tarif indiv. réduit||6,00||||Visite couplée enfant (7-17ans) : moulin + théâtre de la Halle au Blé";non;Thomas Brochard||06 72 83 52 00||thomas@visithemes.com;;;Cartes bancaires,Chèques bancaires et postaux,Chèques Vacances,Chèques Vacances Connect,Espèces;47.6900963,-0.0528464;Sarthe
VISITE THÉÂTRALISÉE SUR LES PAS DE LA VELUE;Visites et sorties à thèmes;;;Place du Château;;72320;MONTMIRAIL;;;72208;48.10271;0.78963;;02 43 71 21 21;;;;www.tourisme-lafertebernard.fr;;;;;;;;;;;;;;;;;;;;29/07/2022||29/07/2022||20:30||22:00||||;;;Pays du Perche Sarthois||02 43 60 72 77||;;;;48.10271,0.78963;Sarthe
VISITE À VELO AU FIL DES MOULINS;Visites et sorties à thèmes;;;Place de la République;;72000;LE MANS;;;72181;48.0037942;0.1971069;;02 43 47 40 30;;;;;;;;;;;;;;;;oui;;;;;;;;02/06/2022||02/06/2022||19:30||||||;"Tarif indiv. adulte||4,00||6,00||Réduit : enfants de 6 à 12 ans, étudiants demandeurs d'emploi, personnes handicapées, adhérents partenaire ;exonéré : enfants moins de 6 ans , journalistes et guides conférenciers sur justificatif .";;;;;Cartes bancaires,Chèques bancaires et postaux,Espèces;48.0037942,0.1971069;Sarthe
VISITE-FLASH;Visites et sorties à thèmes;place de la République;;;;72400;LA FERTE-BERNARD;;;72132;48.18685;0.65461;;02 43 60 72 77;;;perche-sarthois@orange.fr;;;;;;;;;;;;;;;;;;;;;18/07/2022||18/07/2022||09:30||12:00||||;;;Pays du Perche Sarthois||02 43 60 72 77||;;;;48.18685,0.65461;Sarthe
ÇA ROULE EN FORÊT !;Sortie nature / environnement;CARNUTA,MAISON DE L'HOMME ET DE LA FORÊT;2 rue du bourg ancien;;;72500;JUPILLES;;;72153;47.7904845;0.41332973;;02 43 38 10 31;;;accueil.carnuta@loirluceberce.fr;www.carnuta.fr;;;;;;Ponctuel;;;;;;;;;;;;Français;;14/05/2022||14/05/2022||14:00||17:00||||;Tarif indiv. adulte||||||Tarif au chapeau pour l'association,Tarif indiv. enfant||||||Tarif au chapeau pour l'association;oui;;;;Cartes bancaires,Chèques bancaires et postaux,Chèques Vacances,Chèques Vacances Connect,Espèces;47.7904845,0.41332973;Sarthe
VISITE D’ATELIER EN ATELIER EN VALLÉE DU LOIR;Exposition;;;;;;;;;72068;47.728402;0.572782;;;06 44 85 88 46;;;https://achauchereau.odexpo.com;;;;;;;;;;;;;;;;;;;;06/05/2022||06/05/2022||13:30||19:00||||,07/05/2022||07/05/2022||13:30||19:00||||,08/05/2022||08/05/2022||13:30||19:00||||;;oui;;;;;47.728402,0.572782;Sarthe
UNE VIE SUR MESURE DE ET PAR CEDRIC CHAPUIS;Théâtre;;Salle des Concerts;Rue du Port;;72000;LE MANS;72000;;72181;48.0027713;0.1936323;;;06 10 53 38 40;;acthalia@hotmail.fr;https://acthalia.com/;;https://www.youtube.com/watch?v=JQ_Wf-eiYpM;;;;Ponctuel;;;;;;;;;;;;;;04/05/2022||04/05/2022||21:00||22:30||||;Tarif indiv. adulte||15,00||0,00||,Tarif indiv. réduit||15,00||||Etudiants et demandeurs d'emploi,Tarif indiv. enfant||10,00||||Jusqu'à 10 ans;non;;;;Chèques bancaires et postaux,Espèces;48.0027713,0.1936323;Sarthe
#JE SUIS SIMONE;Théâtre;;Théâtre de Chaoué;11 Rue du Moulin de Chaoué;;72700;ALLONNES;;;72003;47.97139;0.16571;;02 43 80 40 08;;;contact@theatredechaoue.fr;https://www.theatredechaoue.fr/la-programmation/avril/;;;;;;;;;;;;;;;;;;;;28/04/2022||29/04/2022||20:30||21:40||||;;;;;;;47.97139,0.16571;Sarthe
24 HEURES ROLLERS;Manifestation sportive;;Circuit Bugatti;Place Luigi Chinetti;;72000;LE MANS;;;72181;47.9552603;0.20754248;;02 40 31 61 34;;;24rollers.lemans@gmail.com;https://www.24rollers.com/;Facebook||https://www.facebook.com/24rollers/;http://www.24rollers.com/levenement/presentation/;;;;Annuel;;;;;;;;;;;;Français,Allemand,Anglais,Chinois,Espagnol,Italien;;09/07/2022||10/07/2022||16:00||||||;;;;;;;47.9552603,0.20754248;Sarthe
2ÈME CIRCUIT DES MANOIRS ET CHÂTEAUX;Visites et sorties à thèmes;Place du Château;;;;72320;MONTMIRAIL;;;72208;48.103632;0.790768;;02 43 60 72 77;;;perche-sarthois@orange.fr;;;;;;;;;;;;;;;;;;;;;19/06/2022||19/06/2022||10:30||17:00||||;;;Pays du Perche Sarthois||02 43 60 72 77||perche-sarthois@orange.fr;;;;48.103632,0.790768;Sarthe
[ANNULÉ] HELENE SEGARA - KARMATOUR;Concert;;Palais des Congrès et de la Culture;Rue d'Arcole;;72000;LE MANS;;;72181;48.0007657;0.19202859;;02 43 43 59 59;;;;;;;;;;Ponctuel;;;;;;;;;;;;;;05/05/2022||05/05/2022||20:30||||||;;non;;;;Cartes bancaires,Chèques bancaires et postaux,Chèques Vacances;48.0007657,0.19202859;Sarthe
[REPORTÉ] BACK TO THE FLOYD - UNE AVENTURE SYMPHONIQUE;Concert;;Antarès;2 Avenue Antares;;72100;LE MANS;;;72181;47.956751;0.226448;Transport en commun||Tramway T1 - Terminus Antarès/MMArena||0,1;02 43 84 67 00;;;billetterielemans@citylive.fr;https://www.antareslemans.com/;Facebook||https://www.facebook.com/salle.antares,Instagram||https://www.instagram.com/antares_le_mans/,Twitter||https://twitter.com/AntaresLeMans;;;;;Ponctuel;;;;;;;;;;;;;;06/05/2022||06/05/2022||20:00||||||,12/05/2023||12/05/2023||20:00||||||;"Tarif indiv. adulte||||||Tarifs: ;Carré Or : 62 €;Catégorie 1 : 53 €;Catégorie 2 : 45 €;Placement numéroté;";non;;;;Cartes bancaires,Chèques bancaires et postaux,Espèces;47.956751,0.226448;Sarthe
[REPORTÉ] HAROUN;Spectacle;;Palais des Congrès et de la Culture;Rue d'Arcole;;72000;LE MANS;;;72181;48.0007657;0.19202859;;02 43 43 59 59;;;;;;;;;;Ponctuel;;;;;;;;;;;;;;10/03/2023||10/03/2023||20:00||||||;;non;;oui;||https://www.lemans-evenements.fr/evenement/haroun-seuls/||||||;Cartes bancaires,Chèques bancaires et postaux,Chèques Vacances;48.0007657,0.19202859;Sarthe
[REPORTÉ] LES SALES MAJESTÉS + LES RAMONEURS DE MENHIRS;Concert;;L'Oasis;1 Avenue du Parc des Expositions;;72100;LE MANS;;;72181;47.9576728;0.202954;;;;;hello@superforma.fr;https://superforma.fr/agenda/les-sales-majestes-les-ramoneurs-de-menhirs;Facebook||https://www.facebook.com/hellosuperforma;https://youtu.be/YDgtARfWXeA;;;;;;;;;;;;;;;;;;26/11/2022||26/11/2022||20:00||23:30||||;;non;;oui;||https://superforma.fr/agenda/les-sales-majestes-les-ramoneurs-de-menhirs||||||;Cartes bancaires,Chèques bancaires et postaux,Chèques Vacances,Espèces;47.9576728,0.202954;Sarthe
[REPORTÉ] VERINO;Spectacle;;Palais des Congrès et de la Culture;Rue d'Arcole;;72000;LE MANS;;;72181;48.0007657;0.19202859;;02 43 43 59 59;;;;;;;;;;Ponctuel;;;;;;;;;;;;;;13/05/2022||13/05/2022||20:30||||||;;non;;;;Cartes bancaires,Chèques bancaires et postaux,Chèques Vacances;48.0007657,0.19202859;Sarthe
ANTIBALAS + BAD FAT;Concert;;Les Saulnières;239 Avenue Rhin et Danube;;72000;LE MANS;;;72181;48.019992;0.18236306;;;;;;https://superforma.fr/agenda/antibalas-bad-fat;Facebook||https://www.facebook.com/events/3062166677380292;;;;;;;;;;;;;;;;;;;02/06/2022||02/06/2022||20:30||23:30||20:00||;Tarif indiv. adulte||15,00||||,Tarif indiv. réduit||13,00||||,Tarif abonné||0,00||||Abonné SUPERFORMA,Tarif indiv. adulte||17,00||||Sur Place;non;;;;Cartes bancaires,Chèques bancaires et postaux,Espèces;48.019992,0.18236306;Sarthe
APRÈS-MIDI JEUX EXTÉRIEURS;Stages-Atelier-Jeux;Base de Loisirs de La Ferté-Bernard;;;;72400;LA FERTE-BERNARD;;;72132;48.18685;0.65461;;06 77 76 92 84;;;;;;;;;;;;;;;;;;;;;;;;03/07/2022||03/07/2022||14:00||17:00||||;;;;;;;48.18685,0.65461;Sarthe
APRÈS-MIDI À LA FERME - CHEVAUX PERCHERONS;Sortie nature / environnement;Le Bois des Torillères;;;;72400;LA CHAPELLE-DU-BOIS;;;72062;48.21685;0.61565;;02 43 71 21 21;;;;;;;;;;;;;;;;;;;;;;;;23/06/2022||23/06/2022||15:00||16:00||||;;;;;;;48.21685,0.61565;Sarthe
ARRIVÉE DU PÈRE NOËL;Animations de Noël;salle Michel Berger;;;;72460;SAVIGNE-L'EVEQUE;;;72329;48.076935;0.300514;;;07 71 04 12 34;;;;;;;;;;;;;;;;;;;;;;;11/12/2022||11/12/2022||||||||;;;;;;;48.076935,0.300514;Sarthe
ATELIERS VERTS;Stages-Atelier-Jeux;;;;Maison pour tous;72430;FERCE-SUR-SARTHE;;;72131;47.9019358;-0.0308883;;;06 28 20 12 63;;calfercesursarthe@gmail.com;;Facebook||https://www.facebook.com/calferce/;;;;;;;;;;;;;;;;;;;09/04/2002||09/04/2022||10:00||12:00||||,04/12/2021||04/12/2021||10:00||12:00||||,08/01/2022||08/01/2022||10:00||12:00||||,12/02/2022||12/02/2022||10:00||12:00||||,12/03/2022||12/03/2002||10:00||12:00||||,14/05/2022||14/05/2022||10:00||12:00||||,11/06/2022||11/06/2022||10:00||12:00||||;Tarif abonné||5,00||||,Tarif indiv. adulte||7,00||||,Tarif indiv. enfant||5,00||||;;;;;;47.9019358,-0.0308883;Sarthe
BERNARD LAVILLIERS;Concert;;Palais des Congrès et de la Culture;Rue d'Arcole;;72000;LE MANS;;;72181;48.0007657;0.19202859;;02 43 43 59 59;;;;;;;;;;Ponctuel;;;;;;;;;;;;;;28/04/2022||28/04/2022||20:30||||||;;non;;oui;||https://www.lemans-evenements.fr/evenement/bernard-lavilliers-sous-un-soleil-enorme/||||||;Cartes bancaires,Chèques bancaires et postaux,Chèques Vacances;48.0007657,0.19202859;Sarthe
BOURSE AUX JOUETS;Brocantes & vide-greniers;Espace du Narais;;;;72470;SAINT-MARS-LA-BRIERE;;;72300;48.0286947;0.3821718;;;06 31 05 92 16;;latribubrieroise@gmail.com;;;;;;;;;;;;;;;;;;;;;27/11/2022||27/11/2022||||||||;;;;;;;48.0286947,0.3821718;Sarthe
BRIC A BRAC;Brocantes & vide-greniers;Terrain de la salle polyvalente;;;;72160;LA CHAPELLE-SAINT-REMY;;;72067;48.093372;0.466151;;02 43 93 46 12;;;;;;;;;;;;;;;;;;;;;;;;18/09/2022||18/09/2022||||||||;;;;;;;48.093372,0.466151;Sarthe
BRIC À BRAC;Brocantes & vide-greniers;Parking Salle polyvalente;;;;72160;LA CHAPELLE-SAINT-REMY;;;72067;48.093372;0.466151;;06 30 32 55 91;;;;;;;;;;;;;;;;;;;;;;;;03/07/2022||03/07/2022||07:00||||||;;;;;;;48.093372,0.466151;Sarthe
BROCANTE VIDE GRENIERS;Brocantes & vide-greniers;Terrain centre bourg;;;;72320;SAINT-JEAN-DES-ECHELLES;;;72292;48.12927;0.71283;;06 95 30 45 75;;;;;;;;;;;;;;;;;;;;;;;;16/10/2022||16/10/2022||07:00||18:00||||;;;;;;;48.12927,0.71283;Sarthe
