nom_offre_touristique;type_offre;adresse1;adresse1suite;adresse2;adresse3;code_postal;bureau_distributeur;commune;cedex;code_insee;latitude;longitude;situation_offre;n_mobile;n_fixe;n_fax;email;url_web;url_video;code_embed;type_url;widget_tripadvisor;secteur_activite;labels;label_tourisme_handicap;animal_accepte;information_animal;groupe_accepte;nombre_personnes_max;nombre_personnes_min;langues_acceuil;appellation_vins;degustations_gratuites;salle_equipee;vente_propriete;duree_visite_individuels;duree_visite_groupes;visites_guidees_groupes_permanence;visites_guidees_groupes_sur_demande;visites_libres_groupes_permanence;visites_pedagogiques_groupes_permanence;visites_guidees_individuels_permanence;visites_guidees_individuels_sur_demande;langue_parlee_visites;visites_libres_individuels_permanence;offres_proposees;ouvert_toute_annee;horaires_ouvertures;moyen_reservation_directe;moyen_reservation_en_ligne;centrale_reservation_en_ligne;tarif_gratuit;tarif;modes_paiement;localisation;departement
ALLÉE DU PETIT BONHEUR BROCANTE;;;;10 Rue Nationale;;72340;;LA CHARTRE-SUR-LE-LOIR;;72068;47.72841;0.57413;;665622250;;;masse.frederic@bbox.fr;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;47.72841,0.57413;Sarthe
ESPACE GALERIE ZÉPHIR & L'OLIVIER;;;;17 Rue François Coudreux;;72340;;LA CHARTRE-SUR-LE-LOIR;;72068;47.72902;0.57543;;666884316;;;stephaniedemalherbe@gmail.com;http://www.stephaniedemalherbe.com/;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;47.72902,0.57543;Sarthe
LES CHAMPS DE BLÉ;Pain / Pâtisserie;;;2 RUE DU 11 Août 1944;;72600;;LOUVIGNY;;72170;48.3391101;0.2057207;;;02 43 34 00 11;;;;;;;;Agriculture / horticulture / Pêche;;;;;;;;;;;;;;;;;;;;;;;;oui;;;;;;;;48.3391101,0.2057207;Sarthe
MAISON PRUNIER;"Art de la table;Rillettes";;;25 rue de la Jatterie;;72160;;CONNERRE;;72090;48.0562189;0.49306632;;;02 43 76 30 00;;;;;;;;Agro-alimentaire;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;48.0562189,0.49306632;Sarthe
BOUTIQUE LA SABLESIENNE;Biscuit;;;28 Grande Rue;;72200;;LA FLECHE;;72154;47.699461;-0.073869;;;02 43 48 81 28;;lafleche@sablesienne.com;http://www.sablesienne.com;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;47.699461,-0.073869;Sarthe
BISCUITERIE MAISON DRANS - BOUTIQUE;"Biscuit;Confiserie / chocolat";;;38 place Raphaël Elizé;;72300;;SABLE-SUR-SARTHE;;72264;47.83976;-0.3331101;;;02 43 55 61 87;;contact@maisondrans.com;https://www.maisondrans.com/;;;"Facebook||https://www.facebook.com/MaisonDrans/;||https://www.linkedin.com/company/maison-drans/?originalSubdomain=fr;Instagram||https://www.instagram.com/maisondrans/";;Agro-alimentaire;;;;;;;;;;oui;;;;;;non;;non;non;non;Français;oui;;oui;01/01/2022||31/12/2022||||||||||||||10:00||12:30||15:00||19:00||10:00||12:30||15:00||19:00||10:00||12:30||15:00||19:00||10:00||12:30||15:00||19:00||10:00||12:30||15:00||19:00||||||||;;;;oui;;"Cartes bancaires;Chèques bancaires et postaux;Espèces";47.83976,-0.3331101;Sarthe
LA CAVE FLECHOISE;"Spiritueux;Vins";;;64 rue Carnot;;72200;;LA FLECHE;;72154;47.6994775;-0.0781164;;;02 43 94 03 36;;vinsetmerveilles@orange.fr;http://www.cave-flechoise.fr;;;;;Agro-alimentaire;;;;;;;;;;;;;;;;;;;;;;;;;01/01/2022||31/12/2022||||||||||||||09:30||12:00||14:30||19:00||09:30||12:00||14:30||19:00||09:30||12:00||14:30||20:00||09:30||12:00||14:30||20:00||09:30||12:00||14:30||20:00||||||||;;;;;;;47.6994775,-0.0781164;Sarthe
FERME LA BLETTERIE;Fruits / légumes;;;La bletterie;Saint Mars;72290;;BALLON-SAINT MARS;;72023;48.158851;0.29050699;;612102925;;;david1.christophe72@hotmail.fr;;;;;;Agriculture / horticulture / Pêche;Bienvenue à la Ferme;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;48.158851,0.29050699;Sarthe
LES JARDINS DE LA CHEVRIE;Fruits / légumes;;;La Chevrie;;72120;;MONTAILLE;;72204;47.960641;0.6842859;;613573314;;;chevrie@laposte.net;;;;;;Agriculture / horticulture / Pêche;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;47.960641,0.6842859;Sarthe
BRUNO BELLANGER;Viande;;;La Haute Barre;;72310;;LA CHAPELLE-HUON;;72064;47.8501629;0.74595699;;;02 43 35 58 17;;;;;;;;Agro-alimentaire;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;47.8501629,0.74595699;Sarthe
LA FERME DU CORMIER;"Rillettes;Viande";;;Le Cormier;Ruillé sur Loir;72340;;LOIR EN VALLÉE;;72262;47.8158509;0.63058;;632137437;02 43 35 34 45;;fermeducormier@orange.fr;;;;;;"Agriculture / horticulture / Pêche;Agro-alimentaire";;;oui;;;;;Français;;;;oui;;;non;non;non;non;non;non;Français;non;;;||||Ouvert toute l'année sur rendez-vous||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;AUBRY Amélie||06 32 13 74 37||fermeducormier@orange.fr;;;oui;;Chèques bancaires et postaux;47.8158509,0.63058;Sarthe
DOMAINE DES PIES BLANCHES;Vins;;;Lieu Dit les Nerons;;72340;;MARCON;;72183;47.702659;0.529753;;;;;pradelle1@gmail.com;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;47.702659,0.529753;Sarthe
LA CLAIE DU PIN;"Fruits / légumes;Viande";;;Petit Pin;;72140;;MONT-SAINT-JEAN;;72211;48.253924;-0.109523;;686309712;;;earllaclaiedupin@gmail.com;https://www.laclaiedupin.fr/;https://youtu.be/mYnd04rz-oM;"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/mYnd04rz-oM"" frameborder=""0"" allow=""accelerometer;autoplay;encrypted-media;gyroscope;picture-in-picture"" allowfullscreen></iframe><span data-champcoderef="" "" id=""91aa2680-31ec-4342-9ac8-e0883d7f44d3"" type=""champSimple""><br /></span>";Facebook||https://www.facebook.com/laclaiedupin/?ref=page_internal;;Agriculture / horticulture / Pêche;;;;;;;;;;;;;;;;;;;;;;;;;;;||https://www.local.direct/la-claie-du-pin||||||;oui;;;;48.253924,-0.109523;Sarthe
CAFÉ'RAVANE;Art de la table;31bis, rue d'Huisne;;;;72400;;LA FERTE-BERNARD;;72132;48.185934;0.655979;;782718874;;;caferavane@gmail.com;https://www.caferavane.fr/;;;;;Agro-alimentaire;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;48.185934,0.655979;Sarthe
CHOCOLATERIE DENEUVILLE;Confiserie / chocolat;Centre Commercial Leclerc;;;;72400;;CHERRE-AU;;72080;48.1628365;0.6665824;;;02 43 93 59 23;;deneuville.cherre@gmail.com;https://www.chocolat-deneuville.com/?fbclid=IwAR3tblZFr8RAOrm_hMx-ClOGTK0E531x9za1rM8OsIiIbWrJ0rFfPrzkUrE;;;;;Agro-alimentaire;;;;;;;;;;;;;;;;;;;;;;;;;||||||||09:00||19:30||||||09:00||19:30||||||09:00||19:30||||||09:00||19:30||||||09:00||20:00||||||09:00||19:30||||||||||||;;;;;;"Cartes bancaires;Chèques bancaires et postaux;Espèces";48.1628365,0.6665824;Sarthe
GILLES MICHAUDEL - CIDRE DU PERCHE;Produits cidricoles / Jus de fruit;Ferme du Chêne;;;;72400;;CORMES;;72093;48.170933;0.706489;;;02 43 93 19 54;;michaudel.gilles@laposte.net;http://cidrebioduperche.fr/;;;;;Agriculture / horticulture / Pêche;Agriculture Biologique (AB);;;;;;;Français;;oui;oui;oui;;;;;;;;;;;;;||||||||||||||||||||||||||||||||||||||||||||||||14:00||18:00||||||||||||;;;;;;;48.170933,0.706489;Sarthe
ANNIE LEMAIRE - GRAVURE SUR ZINC ET LINO;Enluminure / Calligraphie;Hameau du Bois Gare;;;;72400;;LA BOSSE;;72040;48.170049;0.524867;;;06 73 89 13 43;;lemaireannie@free.fr;;;;;;Artisanat / Art;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;48.170049,0.524867;Sarthe
DIDIER HOFT - CÉRAMISTE;"Céramique, faïence, émail;Poterie";Le Casselot;;;;72160;;TUFFE VAL DE LA CHERONNE;;72363;48.1127359;0.5189747;;684155666;02 43 93 69 74;;didier.hoft@hotmail.fr;http://didier-hoft.com;;;;;Artisanat / Art;;;;;;;;Français;;;;;;;;;;;;oui;Français;non;;oui;;Dider Hoft||02 43 93 69 74||didier.hoft@hotmail.fr;;;;;;48.1127359,0.5189747;Sarthe
FLORENCE BARBAULT;Fruits / légumes;Le Petit Mont;;;;72110;;BEAUFAY;;72026;48.14717;0.36301;;640244832;;;;;;;;;Agro-alimentaire;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;48.14717,0.36301;Sarthe
LA FERME DU HANNETON - LÉGUMES BIOLOGIQUES;Fruits / légumes;161 chemin du herault;;;;72450;;LOMBRON;;72165;48.0955727;0.40444552;;;;;ferme.du.hanneton@gmail.com;https://la-ferme-du-hanneton.net/;;;"Facebook||https://www.facebook.com/FermeDuHanneton/;Twitter||https://twitter.com/FermeDuHanneton;Instagram||https://www.instagram.com/lafermeduhanneton/";;Agriculture / horticulture / Pêche;Agriculture Biologique (AB);;oui;;oui;;;"Anglais;Français";;;non;;;;;oui;non;oui;;oui;Français;non;;oui;;;;;;;"Chèques bancaires et postaux;Espèces";48.0955727,0.40444552;Sarthe
VERGERS DAVOINE;Fruits / légumes;;;;Le Fessard;72330;;YVRE-LE-POLIN;;72385;47.819816;0.155067;;609793937;02 43 87 42 70;;depierre3@wanadoo.fr;;;;;;Agriculture / horticulture / Pêche;Bienvenue à la Ferme;;non;;oui;35;;Français;;oui;oui;oui;2 H;2 H;oui;oui;non;oui;oui;oui;Français;non;;;"01/01/2022||30/06/2022||||||08:00||12:00||13:30||18:00||08:00||12:00||13:30||18:00||08:00||12:00||13:30||18:00||08:00||12:00||13:30||18:00||08:00||12:00||13:30||18:00||||||||||||||||;01/09/2022||31/12/2022||||||08:00||12:00||13:30||18:00||08:00||12:00||13:30||18:00||08:00||12:00||13:30||18:00||08:00||12:00||13:30||18:00||08:00||12:00||13:30||18:00||||||||||||||||";;;;oui;;Chèques bancaires et postaux;47.819816,0.155067;Sarthe
LE PARADIS DE LA CHARNIE;"Elevage;Laine;Produits du terroir (boutique);Textile / Habillement / Chaussure";;;LE PATISSEAU;;72240;;SAINT-SYMPHORIEN;;72321;48.0778935;-0.155112;;609533542;02 43 14 84 78;;contact@paradischarnie.com;http://paradischarnie.com/;https://youtu.be/Cy3U4SJxwoE;"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/Cy3U4SJxwoE"" frameborder=""0"" allow=""accelerometer;autoplay;encrypted-media;gyroscope;picture-in-picture"" allowfullscreen></iframe><span data-champcoderef="" "" id=""91aa2680-31ec-4342-9ac8-e0883d7f44d3"" type=""champSimple""><br /></span>";"Facebook||https://www.facebook.com/alpagaparadischarnie/;Tripadvisor||https://www.tripadvisor.fr/Attraction_Review-g14216397-d14892842-Reviews-Le_Paradis_de_la_Charnie-Saint_Symphorien_Sarthe_Pays_de_la_Loire.html";;"Artisanat / Art;Loisirs et activités";Agriculture Biologique (AB);;non;;oui;50;10;Français;;non;;oui;1h30;1h30;oui;oui;non;oui;non;oui;Français;non;;oui;;"Géraldine CAPLAIN||06 09 53 35 42||;Géraldine CAPLAIN||02 43 14 84 78||";;;non;"Tarif indiv. enfant||||||Gratuit pour les moins de 13 ans;Formule famille||||||Tarif groupe : 10 personnes  minimum, gratuit pour les moins de 3 ans";"Chèques bancaires et postaux;Espèces";48.0778935,-0.155112;Sarthe
L'ATELIER JEANTAINE;"Confiserie / chocolat;Confiture;Pain / Pâtisserie;Produits cidricoles / Jus de fruit;Produits du terroir (boutique);Rillettes;Spiritueux;Vins";;;48 Bd des Jardiniers;Lieu-dit Les Petits Cours;72140;Sillé le Guillaume;Saint Rémy de Sillé;;72334;48.1784315;-0.1318878;;243289696;;;contact@jeantaine.fr;http://www.jeantaine.fr/;;;"Facebook||https://www.facebook.com/atelier.jeantaine/;Instagram||https://www.instagram.com/atelier.jeantaine/";;Agro-alimentaire;;;non;;oui;50;15;"Anglais;Français";;;;oui;;;;;;;;;Français;;;oui;||||||||||||||||09:00||12:00||14:00||18:30||09:00||12:00||14:00||18:30||09:00||12:00||14:00||18:30||09:00||12:00||14:00||18:30||10:00||12:00||14:30||18:30||||||||;;||http://jeantaine.fr||||02 43 28 96 96||contact@jeantaine.froo.fr;oui;oui;;"Cartes bancaires;Chèques bancaires et postaux";48.1784315,-0.1318878;Sarthe
ATELIER DE POTERIE ET CERAMIQUE FRANÇOISE AUVRAY;"Art de la table;Bijou;Céramique, faïence, émail;Décoration d'intérieur;Poterie;Sculpture";;;;LA PIVARDIERE;72110;;COURCIVAL;;72102;48.2392535;0.4060792;"Autoroute||A11||30;Gare SNCF||La Ferté Bernard||25;Route (nationale/départ.)||D206||1";620304085;02 43 29 55 58;;auvrayceramique@gmail.com;http://www.auvrayceramique.fr/;;;Facebook||https://www.facebook.com/francoise.auvray.75?fref=ts;;Artisanat / Art;;;oui;;oui;40;;"Anglais;Français";;;non;oui;;1 h;oui;oui;oui;;;;"Français;Anglais";oui;;oui;;;;;non;;"Cartes bancaires;Chèques bancaires et postaux";48.2392535,0.4060792;Sarthe
BOUTIQUE ET SALON DE THÉ LA HAUTE FORGE;"Biscuit;Confiserie / chocolat;Confiture;Décoration d'intérieur;Eau;Foie gras;Glace;Pain / Pâtisserie;Produits cidricoles / Jus de fruit;Produits du terroir (boutique);Rillettes;Vins";;;11 rue de Beau Soleil;;72500;;THOIRE-SUR-DINAN;;72356;47.7524166;0.4495615;Autoroute||A28 sorties n°25 ou n°26||15;677320861;;;lahauteforge@gmail.com;http://lahauteforge.fr;;;"Facebook||https://www.facebook.com/La-Haute-Forge-Salon-de-th%C3%A9-Boutique-693666034414152/;Instagram||https://www.instagram.com/lahauteforgesalondethe/";;"Agro-alimentaire;Artisanat / Art;Loisirs et activités";;;non;possédant nous mêmes de nombreux animaux, 3 chiens, vache, ânesse, moutons, polues nous ne pouvons garantir la bonne entente entre tout ce petit monde.;oui;12;6;"Anglais;Français";Coteaux du Loir;;oui;non;;;;;;;;;"Français;Anglais";;;non;"17/04/2022||03/07/2022||ouvert le dimanche||Fermé la semaine||||||||||||||||||||||||||||||||||||||||||||||||||||||15:00||19:00;03/09/2022||18/09/2022||ouvert le dimanche||Fermé la semaine||||||||||||||||||||||||||||||||||||||||||||||||||||||15:00||19:00;09/07/2022||28/08/2022||Ouvert tous les jours||||||||15:00||19:00||||||15:00||19:00||||||15:00||19:00||||||15:00||19:00||||||15:00||19:00||||||15:00||19:00||||||15:00||19:00";;;;oui;;"Cartes bancaires;Chèques bancaires et postaux;Espèces;Virement";47.7524166,0.4495615;Sarthe
CLAUDINE COILLIOT - GRAVURE ARTISTIQUE;Enluminure / Calligraphie;42, rue Victor Hugo;;;;72400;;LA FERTE-BERNARD;;72132;48.185934;0.655979;"Gare SNCF||Gare sncf La Ferté Bernard||0,5;Autoroute||A 11||5;Route (nationale/départ.)||D323||0,5";;02 43 71 17 60;;coilliotclaudine@gmail.com;;;;Facebook||https://www.facebook.com/coilliotclaudine8/;;Artisanat / Art;;;oui;de petite taille;oui;4;;"Anglais;Espagnol;Français";;;;;;;;;;;;;;;;oui;;;;;;;;48.185934,0.655979;Sarthe
BOURG - JOLY MALICORNE, FAIENCERIE D'ART DEPUIS 1747;"Art de la table;Céramique, faïence, émail";16, rue Carnot;;;;72270;;MALICORNE-SUR-SARTHE;;72179;47.814017;-0.0881551;"Route (nationale/départ.)||Centre ville de Malicorne||0;Autoroute||||15;Gare SNCF||Sablé||20;Halte fluviale||||0,1";;02 43 94 80 10;;boutique@malicorne.com;http://www.malicorne.com/;;;"Facebook||https://www.facebook.com/bourgjolymalicorne/;Instagram||https://www.instagram.com/bourg_joly_malicorne/;Pinterest||https://www.pinterest.fr/bourgjolymalicorne/;||https://www.linkedin.com/company/bourg-joly-malicorne";;Artisanat / Art;Métiers d'art;;oui;;non;;;"Anglais;Français";;;;oui;;;;;;;;;"Français;Anglais";oui;;oui;01/02/2022||31/12/2022||Ouvert de 10h - 12h30 et 14h - 18h lundi à samedi. Ouvert de 10h-12h30 et 14h à 18h dimanche et les jours fériés||||10:00||12:30||14:00||18:00||10:00||12:30||14:00||18:00||10:00||12:30||14:00||18:00||10:00||12:30||14:00||18:00||10:00||12:30||14:00||18:00||10:00||12:30||14:00||18:00||10:00||12:30||14:00||18:00;||02 43 94 80 10||contact@malicorne.com;;;oui;;"Cartes bancaires;Chèques bancaires et postaux;Espèces";47.814017,-0.0881551;Sarthe
FERME DE LA VILLIERE - COUETTE GARNIE DE LAINE;Laine;La Villière;;;;72140;LE GREZ;LE GREZ;;72145;48.189858;-0.154397;"Route (nationale/départ.)||D 304||1,5;Autoroute||A28  sortie n°20||20;Gare SNCF||Sillé le Guillaume||2";611820098;02 43 20 13 76;;fermedelavilliere@laposte.net;http://guillot.wix.com/fermedelavilliere#!;https://www.youtube.com/watch?v=jSRMBDpBdCM;"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/jSRMBDpBdCM"" frameborder=""0"" allow=""accelerometer;autoplay;encrypted-media;gyroscope;picture-in-picture"" allowfullscreen></iframe><span data-champcoderef="" "" id=""91aa2680-31ec-4342-9ac8-e0883d7f44d3"" type=""champSimple""><br /></span>";;;Artisanat / Art;Agriculture Biologique (AB);;oui;Si maîtrisés à la voix ou tenus en laisse;oui;10;10;"Anglais;Français";;;;oui;;;non;oui;non;non;non;oui;Français;non;;non;;"GUILLOT||02 43 20 13 76||fermedelavilliere@laposte.net;GUILLOT||06 11 82 00 98||";;;non;;Chèques bancaires et postaux;48.189858,-0.154397;Sarthe
ELENA NOVA - PEINTRE;"Peinture;Sculpture";Les Fossés;;;;72160;;TUFFE VAL DE LA CHERONNE;;72363;48.122499;0.50505399;Route (nationale/départ.)||D19||0,25;;06 49 59 74 51;;elycha2@yahoo.fr;;;;;;Artisanat / Art;;;oui;;oui;15;;"Allemand;Anglais;Français;Russe";;;;;;0h30;oui;oui;non;;oui;oui;"Français;Allemand;Anglais;Russe";oui;;oui;;;;;oui;;;48.122499,0.50505399;Sarthe
CREATEUR PLASTICIEN;;;La rougeollière;Route de Vancé;La Chapelle Gaugain;72310;;LOIR EN VALLÉE;;72262;47.8041061;0.654631;Route (nationale/départ.)||Vancé/La Chapelle Gaugain||2,8;;02 43 35 55 54;;moulenes.philippe@gmail.com;http://www.philideco.over-blog.com;;;;;Artisanat / Art;Métiers d'art;;oui;;non;;;;;non;non;oui;;;non;non;non;non;non;oui;"Français;Anglais";oui;;;;;;;oui;;Chèques bancaires et postaux;47.8041061,0.654631;Sarthe
LA MINEE;Vins;;;La Minée;Ruillé sur Loir;72340;;LOIR EN VALLÉE;;72262;47.749238;0.60033999;"Route (nationale/départ.)||||0,4;Autoroute||la Ferté Berbard et 20 Km Montabon||80";678846819;02 43 44 29 65;02 43 79 25 25;vins.janvier@orange.fr;;;;;;Viticulture;;;;;oui;20;;Français;"Coteaux du Loir;Jasnières";oui;oui;oui;;;;;non;;non;;Français;non;;;||||Ouvert toute l'année sur rendez-vous||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;oui;;Chèques bancaires et postaux;47.749238,0.60033999;Sarthe
FERME DE TOUT JOLY - GAEC DE LA PIE;Fromage et produit laitier;;;;;72140;;ROUEZ;;72256;48.139449;-0.114082;;610755718;;;gaecdelapie@tout-joly.fr;http://www.tout-joly.fr/;https://www.youtube.com/watch?v=Ryy41_OUSmY&t=6s;"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/Ryy41_OUSmY"" frameborder=""0"" allow=""accelerometer;autoplay;encrypted-media;gyroscope;picture-in-picture"" allowfullscreen></iframe><span data-champcoderef="" "" id=""91aa2680-31ec-4342-9ac8-e0883d7f44d3"" type=""champSimple""><br /></span>";Facebook||https://www.facebook.com/Ferme-de-Tout-Joly-1934488136772582/;;Agriculture / horticulture / Pêche;Agriculture Biologique (AB);;;;;;;Français;;non;oui;oui;;;non;oui;non;oui;non;;Français;non;;;;DROUIN Benoît||06 10 75 57 18||gaecdelapie@tout-joly.fr;;;oui;;;48.139449,-0.114082;Sarthe
SAS BERANGER RIBAUT;Viande;;;;;72460;;SAVIGNE-L'EVEQUE;;72329;48.07743;0.30164;;;;;emmanuel.ribaut@gmail.com;;;;;;Agro-alimentaire;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;48.07743,0.30164;Sarthe
SOPHIE ET HERVE DUGUE - ÉLEVAGE DE CHEVAUX;Elevage;;;;La Haute Couparie;72110;;COURCEMONT;;72101;48.1841564;0.3339263;;645381165;02 43 29 78 60;;couparie@gmail.com;;;;Facebook||https://www.facebook.com/EcurieEquiLibreCouparie/;;Agriculture / horticulture / Pêche;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;48.1841564,0.3339263;Sarthe
FRANCK DUBOIS - JUS DE POMME;Produits cidricoles / Jus de fruit;;;;La Martinière;72110;;COURCEMONT;;72101;48.1691771;0.35454219;;685704195;;;casifrem@orange.fr;;;;;;Agriculture / horticulture / Pêche;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;48.1691771,0.35454219;Sarthe
FERME DE LA RAINERIE;;;;;La Rainerie;72140;;MONT-SAINT-JEAN;;72211;48.236921;-0.119791;;;02 43 14 21 45;;larainerie@wanadoo.fr;;;;;;"Activités scientifiques;Agriculture / horticulture / Pêche";Agriculture Biologique (AB);;;;;;;;;;;;;;;;;;;;;;;;;;||||||02 43 14 21 45||larainerie@wanadoo.fr;non;;;;48.236921,-0.119791;Sarthe
REMI COUDRAIN - SCULPTEUR;Sculpture;;;;LE MOULIN;72310;;COGNERS;;72085;47.863725;0.65706099;;632089936;02 43 35 06 56;;remi.coudrain@gmail.fr;http://www.coudrain-sculpteur.com;;;;;Artisanat / Art;;;;;;;;Français;;;;;;;;;;;;;;;;oui;;;;;;;;47.863725,0.65706099;Sarthe
SAFRAN DE VAULOGÉ;;;;;Vaulogé;72110;;SAINT-CELERIN;;72271;48.1105159;0.412086;;686884034;;;contact@safrandevauloge.fr;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;48.1105159,0.412086;Sarthe
LE TEMPS RETROUVÉ;;;;1 Rue Nationale;;72340;;LA CHARTRE-SUR-LE-LOIR;;72068;47.72845;0.57381;;783950006;;;henriboillot72@gmail.com;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;47.72845,0.57381;Sarthe
ATELIER HERVÉ NORAS;;;;20 Rue Nationale;;72340;;LA CHARTRE-SUR-LE-LOIR;;72068;47.72809;0.57466;;676059379;;;contact@herve-n-sellier.com;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;47.72809,0.57466;Sarthe
BRASSERIE SEPTANTE-DEUX;Bières;;;21, rue du Docteur Leroy;;72000;;LE MANS;;72181;48.0024286;0.1962607;;;06 66 17 71 50;;brasserie@septantedeux.com;www.brasserieseptantedeux.com;;;Facebook||https://www.facebook.com/septantedeux/;;Agro-alimentaire;;;;;;;;;;;;;;;;;;;;;;;;oui;||||||||||||||||17:00||23:00||||||17:00||23:00||||||17:00||23:00||||||17:00||01:00||||||14:00||01:00||||||||||||;;;;;;;48.0024286,0.1962607;Sarthe
GALERIE D'ART MICHEL HILDERAL;;;;32 Rue de la Madeleine;;72340;;LA CHARTRE-SUR-LE-LOIR;;72068;47.7304;0.57448;;778844721;;;hilderal13@gmail.com;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;47.7304,0.57448;Sarthe
ARTISTE PEINTRE;Peinture;;;5 rue du Vallet;;72130;;GESNES-LE-GANDELIN;;72141;48.3538167;0.02230209;;682588344;;;bornetcorinne@gmail.com;http://www.corinnebornet.com/;;;;;Artisanat / Art;;;;;;;;"Anglais;Français";;;;oui;;;;;;;;;Français;;;oui;;;;;oui;;;48.3538167,0.02230209;Sarthe
EARL FORESTIER BULOT;Volailles / Oeufs;;;Ferme de la Métairie;;72600;;VILLAINES-LA-CARELLE;;72374;48.3777388;0.301921;;616828272;;;;;;;;;"Agriculture / horticulture / Pêche;Agro-alimentaire";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;48.3777388,0.301921;Sarthe
DOMAINE DE LA TOUCHE;Vins;;;La Rue de Cézin;Domaine de la Touche;72340;;MARCON;;72183;47.7181295;0.536575;;620633250;02 43 44 14 82;02 46 44 90 26;jean-marc.rimbault@wanadoo.fr;;;;;;Viticulture;;;;;;;;;"Coteaux du Loir;Jasnières";;;oui;;;;;;;;;;;;;;;;;;;;47.7181295,0.536575;Sarthe
FERME DES 2 SABOTS;Elevage;;;LA SIMONIERE;;72120;;ECORPAIN;;72125;47.92501;0.624828;;679269726;;;smulders.elke@orange.fr;http://lesdeuxsabots.com/;;;;;Agriculture / horticulture / Pêche;;;;;;;;;;;;;;;;oui;;;;oui;Français;;;;;;;;;;;47.92501,0.624828;Sarthe
PRÉ'SAGE;Plantes et fleurs;;;le coteau;;72260;;MONHOUDOU;;72202;48.2955511;0.31230856;;620626680;;;pre.sage72@outlook.com;;;;;;Agriculture / horticulture / Pêche;;;;;;;;;;;non;oui;;;;;;;;;;;;;;;;;;;;48.2955511,0.31230856;Sarthe
LE CHAMP LIBRE;Fruits / légumes;;;Le Point du Jour;;72240;;TENNIE;;72351;48.142121;-0.049868;;;;;lechamplibre@netcourrier.com;;;;Facebook||https://www.facebook.com/LeChampLibre.Maraichage/?ref=page_internal;;Agriculture / horticulture / Pêche;Agriculture Biologique (AB);;;;;;;;;;;;;;;;;;;;;;;non;;;||https://www.local.bio/le-point-du-jout/producteur/5ebe39162c76a2f4485e409e||||||;oui;oui;;"Chèques bancaires et postaux;Espèces";48.142121,-0.049868;Sarthe
FERME DE BELLE VUE;Fromage et produit laitier;;;Rue de Montfêlé;BELLEVUE;72110;;BONNETABLE;;72039;48.186207;0.432679;;685213003;02 43 29 35 55;;roger.jean-philippe72@wanadoo.fr;;;;;;Agriculture / horticulture / Pêche;;;;;;;;Français;;;;;;;;;;;;;;;;;;;;;;;;48.186207,0.432679;Sarthe
FRANÇOISE MOLIÈRE - PEINTURE;Peinture;32, rue Paul Bert;;;;72400;;LA FERTE-BERNARD;;72132;48.185934;0.655979;;;02 43 71 52 56;;francoisemoliere@neuf.fr;;;;;;Artisanat / Art;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;48.185934,0.655979;Sarthe
VALÉRIE LOYAN - RELIURE;Enluminure / Calligraphie;4, rue de la Châtillonnerie;;;;72320;;Montmirail;;72208;48.1036069;0.79116228;;699016688;;;livre.et.image@gmail.com;;;;;;Artisanat / Art;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;48.1036069,0.79116228;Sarthe
ANNE-MARIE CADIOT - PEINTURE;Peinture;43 rue du Bourgneuf;;;;72120;;SAINT-CALAIS;;72269;47.932425;0.741794;;;;;;;;;;;Artisanat / Art;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;47.932425,0.741794;Sarthe
LES JARDINS DE BELLEGARDE;Fruits / légumes;Bellegarde;;;;72460;;SAVIGNE-L'EVEQUE;;72329;48.07743;0.30164;;664958986;;;jardinsdebellegarde@gmail.com;https://www.facebook.com/jardinsdebellegarde/;;;;;Agro-alimentaire;Agriculture Biologique (AB);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;48.07743,0.30164;Sarthe
