nom_fete_ou_manifestation;categorie;adresse1;adresse1suite;adresse2;adresse3;code_postal;commune;bureau_distributeur;cedex;code_insee;latitude;longitude;point_acces_distance;n_fixe;n_mobile;n_fax;email;url_web;type_url;url_video;public_concerne_offre;widget_tripadvisor;code_embed;periodicite_manifestation;precision_periodicite;label_tourisme_handicap;duree_visite_individuels;visites_libres_individuels_permanence;visites_guidees_individuels_sur_demande;visites_guidees_individuels_permanence;visites_guidees_groupes_sur_demande;visites_guidees_groupes_permanence;visites_guidees_groupes_permanence_2;duree_visite_groupes;visites_pedagogiques_groupes_permanence;langues;langues_audio;horaires_ouvertures;tarifs_annee_proposes;tarif_gratuit;moyens_reservation_directe;centrale_reservation_en_ligne;moyens_reservation_en_ligne;modes_paiement;localisation;departement
SOIReE QUIZ;;O'bout du pont;rue de la mairie;;;72430;FERCE_SUR_SARTHE;;;72131;47.901792;_0.029601;;;628201263;;calfercesursarthe@gmail.com;www.calfercesursarthe.fr;Facebook||https://www.facebook.com/calferce;;;;;;;;;;;;;;;;;;;;;oui;;;;;47.901792,_0.029601;Sarthe
SORTIE ORCHIDeES;Sortie nature / environnement;Espace Naturel Sensible des Ajeux;;;;72400;LA FERTE_BERNARD;;;72132;48.16611;0.64251;;02 43 71 21 21;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;48.16611,0.64251;Sarthe
SORTIE ORNITHOLOGIQUE _ DeBUTANTS;Sortie nature / environnement;Espace Naturel Sensible des Ajeux;;;;72400;LA FERTE_BERNARD;;;72132;48.16611;0.64251;;02 43 71 21 21;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;48.16611,0.64251;Sarthe
SORTIES EN CANI_RANDO a _ARCHE DE LA NATURE;Randonnee;;Parking du Verger;Route de Change;;72530;YVRE__EVEQUE;;;72181;47.989875;0.24834078;;02 43 28 17 22;;;officedetourisme@lemans_tourisme.com;https://www.lemans_tourisme.com;Facebook||https://www.facebook.com/tourisme.le.mans,Twitter||https://twitter.com/lemanstourisme,Instagram||https://www.instagram.com/ofcourselemans_tourisme/;;;;;Ponctuel;;;;;;;;;;;;;;;Tarif indiv. reduit||9,00||9,00||de 6 a 16 ans,Tarif indiv. adulte||11,00||11,00||Adulte;non;;;;Cartes bancaires,Cheques bancaires et postaux,Cheques Vacances,Especes;47.989875,0.24834078;Sarthe
SPECTACLE;Spectacle;Quai des Arts;;;;72320;VIBRAYE;;;72373;48.0647497;0.72728968;;02 43 60 76 89;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;48.0647497,0.72728968;Sarthe
SPECTACLE DE DANSE MODERN JAZZ;Danse (spectacle);Centre Culturel Athena;;;;72400;LA FERTE_BERNARD;;;72132;48.182847;0.64961552;;02 43 93 67 92;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;48.182847,0.64961552;Sarthe
SPECTACLE DE RUE LA FRANÇOISE DES JEUX;Spectacle;;;;;72440;SAINT_MICHEL_DE_CHAVAIGNES;;;72303;48.01887;0.56999;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;48.01887,0.56999;Sarthe
SPECTACLE MUSICAL _ LA TOUTE PETITE BOÎTE DE NUITS;Theatre;;LE VA_RHONNE;;Allee de _Europe;72230;Monce_en_Belin;;;72200;47.89235;0.2014037;;02 43 42 29 48;;;valrhonne@wanadoo.fr;;Facebook||https://www.facebook.com/centresocioculturelvalrhonne/;https://youtu.be/vubLDYQ8XqY;;;;Ponctuel;;;;;;;;;;;;;;;Tarif indiv. adulte||6,00||||,Tarif indiv. enfant||4,00||||;non;;;;Cheques bancaires et postaux,Especes;47.89235,0.2014037;Sarthe
STAGE D’EVEIL MUSIQUE POUR LES 3_ 4 ANS;Stages_Atelier_Jeux;Escal, place Ledru Rollin;;;;72400;LA FERTE_BERNARD;;;72132;48.1846528;0.65814024;;02 43 93 67 92;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;48.1846528,0.65814024;Sarthe
THeaTRE  LA FOLLE NUIT AU CAFe ANGLAIS ! »;Theatre;;;6 Rue du Temple;;72430;ASNIERES_SUR_VEGRE;;;72010;47.88864;_0.23576;;02 43 95 17 12;;;contact@lemanoirdelacour.fr;http://www.lemanoirdelacour.fr/spectacles_2021/;Facebook||https://www.facebook.com/manoirdelacour,Instagram||https://www.instagram.com/manoir_de_la_cour/;;;;;Ponctuel;;;;;;;;;;;;Français;;;Tarif indiv. adulte||||||Tarif libre, au chapeau;;;;;Cartes bancaires,Cheques bancaires et postaux,Cheques Vacances,Especes;47.88864,_0.23576;Sarthe
TREMPLIN MUSICAL _ EDITION 2;Concert;;;Place de _Hôtel de Ville;;72500;MONTVAL_SUR_LOIR;;;72071;47.69522;0.41805;;02 43 79 47 97;;;lacastelorienne@montvalsurloir.fr;https://www.facebook.com/La_Castelorienne_Officiel;;;;;;;;;;;;;;;;;;;;;;oui;;;;;47.69522,0.41805;Sarthe
VIDE GRENIER;Brocantes & vide_greniers;;Le bourg;;;72120;SAINTE_CEROTTE;;;72272;47.8989243;0.68560329;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;47.8989243,0.68560329;Sarthe
VIDE GRENIER;Brocantes & vide_greniers;Stade du Landon;;;;72370;LE BREIL_SUR_MERIZE;;;72046;48.00097;0.47827699;;02 43 76 80 12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;48.00097,0.47827699;Sarthe
VIDE GRENIER;Brocantes & vide_greniers;Pelouse de la Borde a Cherre;;;;72400;CHERRE_AU;;;72080;48.19224;0.68418399;;06 89 67 03 21;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;48.19224,0.68418399;Sarthe
VIDE GRENIERS;Brocantes & vide_greniers;;;;;72390;LE LUART;;;72172;48.069938;0.592255;;02 43 60 03 41;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;48.069938,0.592255;Sarthe
VISITE GUIDeE ENTRE HISTOIRE ET GOURMANDISE;Visites et sorties a themes;;Devant _eglise;Place de la Republique;;72130;FRESNAY_SUR_SARTHE;;;72138;48.2804535;0.02128994;;02 43 33 28 04;;;contact@tourisme_alpesmancelles.fr;;Facebook||https://www.facebook.com/Fresnaysarthe,Instagram||https://www.instagram.com/fresnaysursarthe/;;;;;Ponctuel;;;;;;oui;;;oui;;;Français;;;;oui;;;;;48.2804535,0.02128994;Sarthe
VISITE GUIDeE DE _EXPOSITION LES ARBRES SeMENT PAR PAUL CORBINEAU;Visites et sorties a themes;Carnuta,;Maison de _Homme et de la foret;2 Rue du bourg ancien;;72500;JUPILLES;;;72153;47.7904887;0.41333006;;02 43 38 10 31;;;accueil.carnuta@loirluceberce.fr;www.carnuta.fr;;;;;;;;;;;;;;;;;;Français;;;;non;;;;Cartes bancaires,Cheques bancaires et postaux,Cheques Vacances,Cheques Vacances Connect,Especes;47.7904887,0.41333006;Sarthe
VISITE a VELO AU FIL DES MOULINS;Visites et sorties a themes;;;Place de la Republique;;72000;LE MANS;;;72181;48.0037942;0.1971069;;02 43 47 40 30;;;;;;;;;;;;;;;;oui;;;;;;;;;"Tarif indiv. adulte||4,00||6,00||Reduit : enfants de 6 a 12 ans, etudiants demandeurs _emploi, personnes handicapees, adherents partenaire ;exonere : enfants moins de 6 ans , journalistes et guides conferenciers sur justificatif .";;;;;Cartes bancaires,Cheques bancaires et postaux,Especes;48.0037942,0.1971069;Sarthe
VISITE_FLASH;Visites et sorties a themes;place de la Republique;;;;72400;LA FERTE_BERNARD;;;72132;48.18685;0.65461;;02 43 60 72 77;;;perche_sarthois@orange.fr;;;;;;;;;;;;;;;;;;;;;;;;Pays du Perche Sarthois||02 43 60 72 77||;;;;48.18685,0.65461;Sarthe
ÇA ROULE EN FOReT !;Sortie nature / environnement;CARNUTA,MAISON DE _HOMME ET DE LA FOReT;2 rue du bourg ancien;;;72500;JUPILLES;;;72153;47.7904845;0.41332973;;02 43 38 10 31;;;accueil.carnuta@loirluceberce.fr;www.carnuta.fr;;;;;;Ponctuel;;;;;;;;;;;;Français;;;Tarif indiv. adulte||||||Tarif au chapeau pour _association,Tarif indiv. enfant||||||Tarif au chapeau pour _association;oui;;;;Cartes bancaires,Cheques bancaires et postaux,Cheques Vacances,Cheques Vacances Connect,Especes;47.7904845,0.41332973;Sarthe
VISITE D’ATELIER EN ATELIER EN VALLeE DU LOIR;Exposition;;;;;;;;;72068;47.728402;0.572782;;;06 44 85 88 46;;;https://achauchereau.odexpo.com;;;;;;;;;;;;;;;;;;;;;;oui;;;;;47.728402,0.572782;Sarthe
UNE VIE SUR MESURE DE ET PAR CEDRIC CHAPUIS;Theatre;;Salle des Concerts;Rue du Port;;72000;LE MANS;72000;;72181;48.0027713;0.1936323;;;06 10 53 38 40;;acthalia@hotmail.fr;https://acthalia.com/;;https://www.youtube.com/watch?v=JQ_Wf_eiYpM;;;;Ponctuel;;;;;;;;;;;;;;;Tarif indiv. adulte||15,00||0,00||,Tarif indiv. reduit||15,00||||Etudiants et demandeurs _emploi,Tarif indiv. enfant||10,00||||Jusqu'a 10 ans;non;;;;Cheques bancaires et postaux,Especes;48.0027713,0.1936323;Sarthe
#JE SUIS SIMONE;Theatre;;Theatre de Chaoue;11 Rue du Moulin de Chaoue;;72700;ALLONNES;;;72003;47.97139;0.16571;;02 43 80 40 08;;;contact@theatredechaoue.fr;https://www.theatredechaoue.fr/la_programmation/avril/;;;;;;;;;;;;;;;;;;;;;;;;;;;47.97139,0.16571;Sarthe
24 HEURES ROLLERS;Manifestation sportive;;Circuit Bugatti;Place Luigi Chinetti;;72000;LE MANS;;;72181;47.9552603;0.20754248;;02 40 31 61 34;;;24rollers.lemans@gmail.com;https://www.24rollers.com/;Facebook||https://www.facebook.com/24rollers/;http://www.24rollers.com/levenement/presentation/;;;;Annuel;;;;;;;;;;;;Français,Allemand,Anglais,Chinois,Espagnol,Italien;;;;;;;;;47.9552603,0.20754248;Sarthe
2eME CIRCUIT DES MANOIRS ET CHaTEAUX;Visites et sorties a themes;Place du Chateau;;;;72320;MONTMIRAIL;;;72208;48.103632;0.790768;;02 43 60 72 77;;;perche_sarthois@orange.fr;;;;;;;;;;;;;;;;;;;;;;;;Pays du Perche Sarthois||02 43 60 72 77||perche_sarthois@orange.fr;;;;48.103632,0.790768;Sarthe
[ANNULe] HELENE SEGARA _ KARMATOUR;Concert;;Palais des Congres et de la Culture;Rue _Arcole;;72000;LE MANS;;;72181;48.0007657;0.19202859;;02 43 43 59 59;;;;;;;;;;Ponctuel;;;;;;;;;;;;;;;;non;;;;Cartes bancaires,Cheques bancaires et postaux,Cheques Vacances;48.0007657,0.19202859;Sarthe
[REPORTe] BACK TO THE FLOYD _ UNE AVENTURE SYMPHONIQUE;Concert;;Antares;2 Avenue Antares;;72100;LE MANS;;;72181;47.956751;0.226448;Transport en commun||Tramway T1 _ Terminus Antares/MMArena||0,1;02 43 84 67 00;;;billetterielemans@citylive.fr;https://www.antareslemans.com/;Facebook||https://www.facebook.com/salle.antares,Instagram||https://www.instagram.com/antares_le_mans/,Twitter||https://twitter.com/AntaresLeMans;;;;;Ponctuel;;;;;;;;;;;;;;;"Tarif indiv. adulte||||||Tarifs: ;Carre Or : 62 €;Categorie 1 : 53 €;Categorie 2 : 45 €;Placement numerote;";non;;;;Cartes bancaires,Cheques bancaires et postaux,Especes;47.956751,0.226448;Sarthe
[REPORTe] HAROUN;Spectacle;;Palais des Congres et de la Culture;Rue _Arcole;;72000;LE MANS;;;72181;48.0007657;0.19202859;;02 43 43 59 59;;;;;;;;;;Ponctuel;;;;;;;;;;;;;;;;non;;oui;||https://www.lemans_evenements.fr/evenement/haroun_seuls/||||||;Cartes bancaires,Cheques bancaires et postaux,Cheques Vacances;48.0007657,0.19202859;Sarthe
[REPORTe] LES SALES MAJESTeS + LES RAMONEURS DE MENHIRS;Concert;;_Oasis;1 Avenue du Parc des Expositions;;72100;LE MANS;;;72181;47.9576728;0.202954;;;;;hello@superforma.fr;https://superforma.fr/agenda/les_sales_majestes_les_ramoneurs_de_menhirs;Facebook||https://www.facebook.com/hellosuperforma;https://youtu.be/YDgtARfWXeA;;;;;;;;;;;;;;;;;;;;non;;oui;||https://superforma.fr/agenda/les_sales_majestes_les_ramoneurs_de_menhirs||||||;Cartes bancaires,Cheques bancaires et postaux,Cheques Vacances,Especes;47.9576728,0.202954;Sarthe
[REPORTe] VERINO;Spectacle;;Palais des Congres et de la Culture;Rue _Arcole;;72000;LE MANS;;;72181;48.0007657;0.19202859;;02 43 43 59 59;;;;;;;;;;Ponctuel;;;;;;;;;;;;;;;;non;;;;Cartes bancaires,Cheques bancaires et postaux,Cheques Vacances;48.0007657,0.19202859;Sarthe
ANTIBALAS + BAD FAT;Concert;;Les Saulnieres;239 Avenue Rhin et Danube;;72000;LE MANS;;;72181;48.019992;0.18236306;;;;;;https://superforma.fr/agenda/antibalas_bad_fat;Facebook||https://www.facebook.com/events/3062166677380292;;;;;;;;;;;;;;;;;;;;Tarif indiv. adulte||15,00||||,Tarif indiv. reduit||13,00||||,Tarif abonne||0,00||||Abonne SUPERFORMA,Tarif indiv. adulte||17,00||||Sur Place;non;;;;Cartes bancaires,Cheques bancaires et postaux,Especes;48.019992,0.18236306;Sarthe
APReS_MIDI JEUX EXTeRIEURS;Stages_Atelier_Jeux;Base de Loisirs de La Ferte_Bernard;;;;72400;LA FERTE_BERNARD;;;72132;48.18685;0.65461;;06 77 76 92 84;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;48.18685,0.65461;Sarthe
APReS_MIDI a LA FERME _ CHEVAUX PERCHERONS;Sortie nature / environnement;Le Bois des Torilleres;;;;72400;LA CHAPELLE_DU_BOIS;;;72062;48.21685;0.61565;;02 43 71 21 21;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;48.21685,0.61565;Sarthe
ARRIVeE DU PeRE NOËL;Animations de Noël;salle Michel Berger;;;;72460;SAVIGNE__EVEQUE;;;72329;48.076935;0.300514;;;07 71 04 12 34;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;48.076935,0.300514;Sarthe
ATELIERS VERTS;Stages_Atelier_Jeux;;;;Maison pour tous;72430;FERCE_SUR_SARTHE;;;72131;47.9019358;_0.0308883;;;06 28 20 12 63;;calfercesursarthe@gmail.com;;Facebook||https://www.facebook.com/calferce/;;;;;;;;;;;;;;;;;;;;Tarif abonne||5,00||||,Tarif indiv. adulte||7,00||||,Tarif indiv. enfant||5,00||||;;;;;;47.9019358,_0.0308883;Sarthe
BERNARD LAVILLIERS;Concert;;Palais des Congres et de la Culture;Rue _Arcole;;72000;LE MANS;;;72181;48.0007657;0.19202859;;02 43 43 59 59;;;;;;;;;;Ponctuel;;;;;;;;;;;;;;;;non;;oui;||https://www.lemans_evenements.fr/evenement/bernard_lavilliers_sous_un_soleil_enorme/||||||;Cartes bancaires,Cheques bancaires et postaux,Cheques Vacances;48.0007657,0.19202859;Sarthe
BOURSE AUX JOUETS;Brocantes & vide_greniers;Espace du Narais;;;;72470;SAINT_MARS_LA_BRIERE;;;72300;48.0286947;0.3821718;;;06 31 05 92 16;;latribubrieroise@gmail.com;;;;;;;;;;;;;;;;;;;;;;;;;;;;48.0286947,0.3821718;Sarthe
BROCANTE VIDE GRENIERS;Brocantes & vide_greniers;Terrain centre bourg;;;;72320;SAINT_JEAN_DES_ECHELLES;;;72292;48.12927;0.71283;;06 95 30 45 75;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;48.12927,0.71283;Sarthe
CINe_SPECTACLE : ARReTS SUR IMAGES;Cinema;;;;;72450;MONTFORT_LE_GESNOIS;;;72241;48.04885;0.40063;;02 43 35 56 04;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;48.04885,0.40063;Sarthe
CINeMA;Cinema;Quai des Arts;;;;72320;VIBRAYE;;;72373;48.0647461;0.72737015;;02 43 93 60 27;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Cheques bancaires et postaux,Especes;48.0647461,0.72737015;Sarthe
CINeMA DE PLEIN AIR;Cinema;;;Rue de Buet;Base de loisirs de Brûlon;72350;BRULON;;;72050;47.967842;_0.230512;;;06 77 89 49 18;;basedepleinair@gmail.com;;;;;;;Ponctuel;;;;;;;;;;;;;;;;oui;;;;Cartes bancaires,Cheques bancaires et postaux,Especes;47.967842,_0.230512;Sarthe
CITE DES ARTS;Exposition;;Les Quinconces;4, Place des Jacobins;;72000;LE MANS;;;72181;48.0079777;0.20031275;;;;;contact@pulsart_lemans.com;http://pulsart_lemans.blogspot.fr/;Facebook||https://www.facebook.com/pulsartlemans/?fref=ts;;;;;Annuel;Le temps fort du Puls'Art a lieu tous les ans durant le week_end de _Ascension;;;oui;non;non;oui;oui;non;2 h;;Français;;;;oui;;;;Cheques bancaires et postaux;48.0079777,0.20031275;Sarthe
CONCERT;Concert;Salle communale;;;;72160;DUNEAU;;;72122;48.06923;0.51874;;;06 86 40 99 19;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;48.06923,0.51874;Sarthe
CONCERT DE CHANT;Concert;Salle Beauregard, Cherre;;;;72400;CHERRE_AU;;;72080;48.17135;0.66331;;06 63 33 35 19;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;48.17135,0.66331;Sarthe
CONCERT DE JAZZ;Concert;Eglise;;;;72440;SAINT_MARS_DE_LOCQUENAY;;;72298;47.928165;0.48228199;;;;;patlebeugle@orange.fr;;;;;;;;;;;;;;;;;;;;;;;;;;;;47.928165,0.48228199;Sarthe
CONCOURS DE BELOTE;Stages_Atelier_Jeux;Salle des fetes;;;;72390;LAVARE;;;72158;48.0505002;0.63659171;;02 44 53 11 20;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;48.0505002,0.63659171;Sarthe
CONFERENCE PATRIMOINE _ L’HISTOIRE DE L’ABBAYE ROYALE DE L’ePAU RACONTeE PAR L’ARCHeOLOGIE;Conference;;Abbaye Royale de _Epau;Route de Change;;72530;YVRE _EVEQUE;;;72181;47.9839581;0.2506153;Transport en commun||||,Route (nationale/depart.)||||,Autoroute||||,Gare SNCF||||;02 43 84 22 29;;;epau.accueil@sarthe.fr;http://epau.sarthe.fr/conferences;Facebook||https://fr_fr.facebook.com/AbbayeRoyaledelEpau/,Instagram||https://www.instagram.com/abbayeroyaledelepau_/?hl=fr;;;;;;;;;;;;;;;;;;;;Tarif indiv. adulte||5,50||||,Tarif indiv. enfant||3,00||||10_17 ans;non;;;;Cartes bancaires,Cheques bancaires et postaux,Cheques Vacances,Especes;47.9839581,0.2506153;Sarthe
CONFeRENCE QUI eTAIT LAFAYETTE?;Conference;;;;;72320;SAINT_JEAN_DES_ECHELLES;;;72292;48.12927;0.71283;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;48.12927,0.71283;Sarthe
COURS DE CUISINE : ATELIER ENTREMETS MOUSSE;Stages_Atelier_Jeux;;;24 Rue Principale;;72350;VIRE_EN_CHAMPAGNE;;;72379;47.9843953;_0.2880812;;;670542298;;fourmontlouise@gmail.com;;;;;;;;A noter que pour une raison ecologique « c’est meilleur pour notre planete », prevoyez 2 a 3 boites hermetiques  pour emporter vos productions ainsi que votre tablier  lors de votre cours de cuisine!;;;;;;;;;;;;;;Tarif indiv. adulte||35,00||35,00||;non;;;;;47.9843953,_0.2880812;Sarthe
COURS DE CUISINE : ATELIER FRAISIER;Stages_Atelier_Jeux;;;24 Rue Principale;;72350;VIRE_EN_CHAMPAGNE;;;72379;47.9843953;_0.2880812;;;670542298;;fourmontlouise@gmail.com;;;;;;;;A noter que pour une raison ecologique « c’est meilleur pour notre planete », prevoyez 2 a 3 boites hermetiques  pour emporter vos productions ainsi que votre tablier  lors de votre cours de cuisine!;;;;;;;;;;;;;;Tarif indiv. adulte||35,00||35,00||;non;;;;;47.9843953,_0.2880812;Sarthe
COURSE CYCLISTE;Manifestation sportive;Au niveau de _ecole;;;;72390;SEMUR_EN_VALLON;;;72333;48.0237006;0.65365897;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;48.0237006,0.65365897;Sarthe
COURSE DE VeLO;Manifestation sportive;;;;;72400;LA CHAPELLE_DU_BOIS;;;72062;48.22096;0.59282;;;;;;https://fr_fr.facebook.com/patriotebonnetable/;;;;;;;;;;;;;;;;;;;;;;;;;;;48.22096,0.59282;Sarthe
CSO ET DERBY CROSS;Manifestation sportive;;Mamers equitation;Rue verte;;72600;MAMERS;;;72180;48.3583888;0.3675193;;;06 78 86 41 17;;;https://www.facebook.com/Mamers_Equitation_101148455184738/;;;;;;;;;;;;;;;;;;;;;;oui;;;;;48.3583888,0.3675193;Sarthe
DANIEL GUICHARD (REPORTe);Concert;;Palais des Congres et de la Culture;Rue _Arcole;;72000;LE MANS;;;72181;48.0008927;0.19206612;;;;;officedetourisme@lemans_tourisme.com;https://www.lemans_tourisme.com;;;;;;Ponctuel;;;;;;;;;;;;;;;;non;;;;Cartes bancaires,Cheques bancaires et postaux,Cheques Vacances;48.0008927,0.19206612;Sarthe
DANS CE MONDE;Danse (spectacle);Les Quinconces et _Espal;_Espal;60 rue de _Esterel;;72000;LE MANS;;;72181;47.995232;0.2327775;;02 43 50 21 50;;;;https://www.quinconces_espal.com/la_saison/dans_ce_monde;;;;;;;;;;;;;;;;;;;;;;non;;;;;47.995232,0.2327775;Sarthe
DEBOUT SUR LE ZINC + TON ZINC;Concert;;Salle Jean Carmet;5 Boulevard _Anjou;;72700;ALLONNES;;;72003;47.96702;0.16081;;;;;;https://superforma.fr/agenda/debout_sur_le_zinc_ton_zinc;Facebook||https://www.facebook.com/hellosuperforma;;;;;Ponctuel;;;;;;;;;;;;;;;Tarif indiv. adulte||15,00||21,00||;non;;;;Cartes bancaires,Cheques bancaires et postaux,Cheques Vacances,Especes;47.96702,0.16081;Sarthe
DUO DE MOTS, LECTURE A VOIX HAUTE POUR ADULTES;Contes et lectures;;Mediatheque Louise Michel;60, avenue Charles de Gaulle;;72700;ALLONNES;;;72003;47.9677633;0.16054136;;02 43 80 52 07;;;;;;;;;;Mensuel;;;;;;;;;;;;Français;;;;oui;;;;;47.9677633,0.16054136;Sarthe
DUO ORGUE  ET VIOLON;Concert;Eglise Notre Dame des Marais;Place Carnot;;;72400;LA FERTE_BERNARD;;;72132;48.1827582;0.6496318;;02 43 71 46 46;;;;;;;;;;;;;;;;;;;;;;;;;;non;;;;;48.1827582,0.6496318;Sarthe
ENTRE COURS ET JARDINS;Fetes populaires;;Cite Plantagenet;1 place Saint_Michel;;72000;LE MANS;;;72181;48.0085527;0.19679309;;02 43 47 40 30;;;entrecoursetjardins@orange.fr;http://www.entrecoursetjardins.com;Facebook||https://www.facebook.com/EntreCoursEtJardins;https://www.youtube.com/watch?v=7LfD1PUHqQY;;;"edition 2015<span data_champcoderef="" "" id=""91aa2680_31ec_4342_9ac8_e0883d7f44d3"" type=""champSimple""><br /></span>";Annuel;;;;;;;;;;;;;;;"Tarif indiv. adulte||||||Certains jardins secrets necessitent _achat _un pass a 5€.;Gratuit pour les _ 15 ans.;Disponible a _Office de Tourisme ou a la Maison du Pilier_Rouge.";;;;;;48.0085527,0.19679309;Sarthe
EXPOSITION FAUNE SAUVAGE;Exposition;;Dans la grande salle;Lieu_dit Domaine du Gasseau;;72130;SAINT_LEONARD_DES_BOIS;;;72294;48.3599004;_0.0775072;;02 43 34 34 44;;;legasseau@cchautesarthealpesmancelles.fr;https://www.cchautesarthealpesmancelles.fr/tourisme/gasseau/;Facebook||https://www.facebook.com/Gasseau72/;;;;;Annuel;;;;oui;;;;oui;;;;;;;;oui;;;;;48.3599004,_0.0775072;Sarthe
EXPOSITION DE MICHEL GUeRARD PReSENCES;Exposition;;Espace Saugonna;2, rue de la Gare;;72600;MAMERS;;;72180;48.3471248;0.36421846;;02 43 33 77 90;;;saugonna@mainesaosnois.fr;https://michel_guerard.jimdofree.com/;;;;;;;;;;;;;;;;;;;;;;oui;;;;;48.3471248,0.36421846;Sarthe
EXPOSITION DE PEINTURES ET SCULPTURES;Exposition;Salle Michel Berger;;;;72460;SAVIGNE__EVEQUE;;;72329;48.0772223;0.2981889;;02 44 81 10 41;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;48.0772223,0.2981889;Sarthe
EXPOSITION  MANOIRS MeDIeVAUX DU MAINE »;Exposition;;;6 Rue du Temple;;72430;ASNIERES_SUR_VEGRE;;;72010;47.88864;_0.23576;;02 43 95 17 12;;;contact@lemanoirdelacour.fr;http://www.lemanoirdelacour.fr/;Facebook||https://www.facebook.com/manoirdelacour,Instagram||https://www.instagram.com/manoir_de_la_cour/;;;;;;;;;oui;oui;oui;oui;oui;oui;;;Français;;;;;;;;Cartes bancaires,Cheques bancaires et postaux,Cheques Vacances,Especes;47.88864,_0.23576;Sarthe
FETE DU PAIN ET DES CEREALES;Fetes populaires;;Maison de la prairie;Arche de la Nature;;72530;YVRE__EVEQUE;;;72386;47.9975296;0.25494907;;02 43 47 40 00;;;archedelanature@lemans.fr;http://www.arche_nature.fr;Facebook||https://www.facebook.com/archedelanature;;;;;Annuel;Maison de la Prairie, de 14h a 18h;;;oui;non;non;non;oui;non;;non;;;;;oui;;;;;47.9975296,0.25494907;Sarthe
FEU _ARTIFICE;Feux _artifice;;;La Planchette;;72460;SAVIGNE__EVEQUE;;;72329;48.072588;0.28541868;;02 43 27 50 28;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;48.072588,0.28541868;Sarthe
FEU _ARTIFICE;Feux _artifice;Bourg et terrain de moto;;;;72110;TORCE_EN_VALLEE;;;72359;48.1344;0.39787;;;07 87 60 63 52;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;48.1344,0.39787;Sarthe
FEU _ARTIFICE;Feux _artifice;espace du Pont_Romain;;;;72450;MONTFORT_LE_GESNOIS;;;72241;48.0461642;0.41789206;;02 43 54 06 06;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;48.0461642,0.41789206;Sarthe
FeTE DE _ORGUE 2022;Concert;;Eglise Notre_Dame de _Assomption;2 Rue Theophile Ple;;72300;SABLE_SUR_SARTHE;;;72264;47.8387419;_0.3304421;;243950060;;;info@valleedelasarthe.fr;;;;;;;;;;;;;;;;;;;;;;"Tarif indiv. adulte||15,00||15,00||15 € le concert, possibilite de forfait pour les 4 concerts :(45 € pour les non_membres, 25 € pour les membres de l’association, a jour de ;leur cotisation 2022, sur presentation de la carte de ;membre et d’une piece d’identite),Tarif indiv. enfant||5,00||5,00||moins de 16 ans";;;;;;47.8387419,_0.3304421;Sarthe
FeTE DE LA MOISSON;Fetes populaires;La Muserie;;;;72320;VALENNES;;;72366;47.998752;0.816896;;;;;daguenet.jean_michel@orange.fr;;;;;;;;;;;;;;;;;;;;;;;;;;;;47.998752,0.816896;Sarthe
FeTE DE LA MUSIQUE;Concert;;Place devant _auberge de la tour;;;72110;BEAUFAY;;;72026;48.14717;0.36301;;;;;harmoniebeaufay72@gmail.com;;Facebook||https://www.facebook.com/Harmonie_de_Beaufay_147584521561;;;;;;;;;;;;;;;;;;;;;;;;;;48.14717,0.36301;Sarthe
FeTE DE LA MUSIQUE;Concert;;;;;72460;SAVIGNE__EVEQUE;;;72329;48.076935;0.300514;;02.43.27.50.28;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;48.076935,0.300514;Sarthe
FeTE DE LA NATURE;Sortie nature / environnement;;;LE BOURG;;72130;SAINT_LEONARD_DES_BOIS;;;72294;48.3521565;_0.0771507;;;06 74 92 38 36;;;https://www.lesamisdesaintleonard.org/;Facebook||https://www.facebook.com/Les_amis_de_saint_l%C3%A9onard_409464282407655/?fref=ts;;;;;Annuel;;;;;;;;;;;;;;;;oui;M. BOUTON||06 74 92 38 36||boutonjacky@hotmail.fr;;;;48.3521565,_0.0771507;Sarthe
